#,Company,Symbol,Weight,Price,Chg,% Chg
471,FactSet,FDS,0.02%,267.02,-5.09,(-1.87%)
472,AES Corporation,AES,0.02%,13.77,0.05,(0.36%)
473,Stanley Black & Decker,SWK,0.02%,62.12,-0.71,(-1.13%)
474,Align Technology,ALGN,0.02%,133.68,1.40,(1.06%)
475,Moderna,MRNA,0.02%,24.18,-0.74,(-2.97%)
476,Skyworks Solutions,SWKS,0.02%,62.59,0.27,(0.43%)
477,News Corp (Class A),NWSA,0.02%,24.97,-0.34,(-1.34%)
478,Campbell Soup Company,CPB,0.02%,30.78,-0.25,(-0.81%)
479,Baxter International,BAX,0.02%,17.69,-0.46,(-2.53%)
480,Bio-Techne,TECH,0.02%,57.81,-0.34,(-0.58%)
481,Interpublic Group of Companies (The),IPG,0.01%,24.69,-0.51,(-2.02%)
482,Molson Coors Beverage Company,TAP,0.01%,45.27,-1.18,(-2.54%)
483,A. O. Smith,AOS,0.01%,63.61,0.23,(0.36%)
484,Paycom,PAYC,0.01%,160.97,-0.36,(-0.22%)
485,Pool Corporation,POOL,0.01%,233.88,-6.36,(-2.65%)
486,Generac,GNRC,0.01%,147.26,4.80,(3.37%)
487,Alexandria Real Estate Equities,ARE,0.01%,49.51,-1.29,(-2.54%)
488,APA Corporation,APA,0.01%,24.05,-0.87,(-3.49%)
489,MGM Resorts,MGM,0.01%,31.10,-0.31,(-0.99%)
490,Conagra Brands,CAG,0.01%,17.40,0.02,(0.12%)
491,Henry Schein,HSIC,0.01%,70.60,-0.60,(-0.84%)
492,Federal Realty Investment Trust,FRT,0.01%,96.17,-0.58,(-0.60%)
493,DaVita,DVA,0.01%,115.20,-1.36,(-1.17%)
494,Norwegian Cruise Line Holdings,NCLH,0.01%,17.78,-0.06,(-0.34%)
495,Charles River Laboratories,CRL,0.01%,161.64,-0.89,(-0.55%)
496,Lamb Weston,LW,0.01%,56.05,-0.13,(-0.23%)
497,Mosaic Company (The),MOS,0.01%,24.50,-0.18,(-0.73%)
498,LKQ Corporation,LKQ,0.01%,29.60,-0.37,(-1.23%)
499,Match Group,MTCH,0.01%,31.51,0.02,(0.06%)
500,Molina Healthcare,MOH,0.01%,138.12,-3.07,(-2.17%)
501,Solstice Advanced Materials Inc.,SOLS,0.01%,42.72,1.29,(3.11%)
502,Mohawk Industries,MHK,0.01%,104.61,0.52,(0.50%)
503,News Corp (Class B),NWS,0.01%,28.36,-0.43,(-1.49%)
