,fast_ma,slow_ma,profit,end_capital,number_of_trades
963,241,244,232.1688,2331688,44
1691,237,247,231.3346,2323346,22
1692,238,247,231.1331,2321331,26
2187,240,249,221.3229,2223229,22
721,241,243,218.2402,2192402,52
1446,237,246,215.5288,2165288,28
1205,240,245,214.0296,2150296,34
720,240,243,213.8792,2148792,44
2444,249,250,213.1111,2141111,74
1207,242,245,211.4626,2124626,44
1694,240,247,210.8316,2118316,28
961,239,244,210.4014,2114014,36
1939,239,248,209.7747,2107747,24
2443,248,250,208.7129,2097129,48
1202,237,245,206.2035,2072035,28
1695,241,247,206.1094,2071094,32
719,239,243,206.0723,2070723,40
1203,238,245,205.4509,2064509,30
1206,241,245,205.1026,2061026,42
1445,236,246,204.8347,2058347,24
1450,241,246,203.6477,2046477,34
1940,240,248,203.1933,2041933,26
718,238,243,202.8845,2038845,36
962,240,244,202.1562,2031562,40
1447,238,246,201.918,2029180,28
1451,242,246,199.7444,2007444,42
1204,239,245,198.2879,1992879,30
1941,241,248,198.2647,1992647,28
1448,239,246,197.4871,1984871,28
964,242,244,197.2176,1982176,52
2192,245,249,196.3147,1973147,38
722,242,243,195.8659,1968659,70
1693,239,247,195.2735,1962735,28
1449,240,246,194.0952,1950952,32
480,241,242,193.7841,1947841,72
479,240,242,184.1909,1851909,50
1944,244,248,183.9443,1849443,38
1200,235,245,183.9272,1849272,22
2437,242,250,181.0966,1820966,24
2191,244,249,179.4562,1804562,36
2188,241,249,175.9229,1769229,26
960,238,244,175.5299,1765299,32
1201,236,245,175.0644,1760644,26
1199,234,245,174.8598,1758598,22
2440,245,250,173.629,1746290,34
1947,247,248,172.4365,1734365,72
2193,246,249,172.2102,1732102,44
1698,244,247,170.8012,1718012,44
2439,244,250,170.058,1710580,36
959,237,244,169.9791,1709791,30
2195,248,249,169.8092,1708092,72
2438,243,250,169.526,1705260,30
2436,241,250,169.1244,1701244,22
2194,247,249,168.6533,1696533,50
478,239,242,167.7642,1687642,42
956,234,244,166.5985,1675985,22
1945,245,248,164.662,1656620,44
1696,242,247,163.5069,1645069,36
1697,243,247,163.3812,1643812,38
2441,246,250,162.713,1637130,40
239,240,241,162.442,1634420,72
957,235,244,159.2369,1602369,26
714,234,243,158.8717,1598717,26
955,233,244,158.1244,1591244,22
2442,247,250,156.5171,1575171,46
712,232,243,156.3231,1573231,22
469,230,242,154.4724,1554724,20
1943,243,248,154.3099,1553099,36
