,fast_ma,slow_ma,profit,end_capital,number_of_trades
0,1,141,612.9189,6139189,44
140,1,142,612.9189,6139189,44
281,1,143,570.9109,5719109,42
423,1,144,563.8755,5648755,46
1254,107,149,492.2678,4932678,26
1109,109,148,487.0929,4880929,26
1148,1,149,476.0991,4770991,52
424,2,144,475.2471,4762471,32
1402,107,150,475.1911,4761911,26
282,2,143,475.1114,4761114,34
141,2,142,463.9699,4649699,32
1255,108,149,461.6943,4626943,26
1401,106,150,448.6307,4496307,26
566,1,145,448.4566,4494566,56
1,2,141,444.6431,4456431,32
1258,111,149,443.0795,4440795,26
567,2,145,436.9022,4379022,38
1296,1,150,435.3781,4363781,50
1108,108,148,435.2373,4362373,26
856,2,147,434.4147,4354147,42
710,1,146,429.2448,4302448,58
252,113,142,428.0364,4290364,30
1001,1,148,427.7181,4287181,52
1747,2,153,427.4748,4284748,42
1899,2,154,427.4748,4284748,42
250,111,142,426.7072,4277072,30
855,1,147,424.4568,4254568,54
1698,104,152,424.3391,4253391,28
1002,2,148,424.0233,4250233,42
393,113,143,423.9549,4249549,30
1550,106,151,422.5489,4235489,26
1549,105,151,422.0443,4230443,28
1447,3,151,415.7487,4167487,38
676,111,145,410.5961,4115961,32
1405,110,150,410.1432,4111432,26
711,2,146,405.8085,4068085,42
2207,3,156,405.4335,4064335,36
532,110,144,403.477,4044770,30
392,112,143,402.4017,4034017,30
254,115,142,402.1113,4031113,34
391,111,143,402.0291,4030291,32
2362,3,157,400.2382,4012382,34
1110,110,148,399.824,4008240,28
533,111,144,398.6308,3996308,32
251,112,142,398.4155,3994155,30
536,114,144,398.2532,3992532,30
1297,2,150,396.4564,3974564,44
1107,107,148,392.1766,3931766,26
425,3,144,389.5488,3905488,32
283,3,143,388.7355,3897355,32
115,116,141,387.6535,3886535,32
1256,109,149,386.7478,3877478,26
1149,2,149,386.5447,3875447,44
395,115,143,385.8283,3868283,32
820,111,146,384.8502,3858502,28
963,109,147,383.7659,3847659,28
568,3,145,383.6698,3846698,32
1748,3,153,383.5045,3845045,36
1257,110,149,383.3802,3843802,26
