,fast_ma,slow_ma,profit,end_capital,number_of_trades
2071,1,120,566.2159,5672159,70
1606,2,116,492.0276,4930276,56
1721,2,117,474.5333,4755333,58
1953,1,119,472.8034,4738034,68
2072,2,120,472.6129,4736129,52
1836,1,118,469.6132,4706132,74
1492,2,115,468.5125,4695125,62
205,5,103,453.7677,4547677,58
937,2,110,452.3208,4533208,68
1046,2,111,447.6682,4486682,64
1720,1,117,444.7827,4457827,78
616,2,107,426.2251,4272251,72
1837,2,118,423.1807,4241807,56
1491,1,115,419.2597,4202597,78
4,5,101,415.9069,4169069,56
829,2,109,415.173,4161730,72
307,5,104,415.1208,4161208,54
1954,2,119,413.6107,4146107,52
1267,2,113,408.8132,4098132,58
617,3,107,407.6588,4086588,54
1156,2,112,407.3892,4083892,60
1605,1,116,406.9382,4079382,80
106,7,102,401.7925,4027925,44
408,3,105,400.2489,4012489,56
407,2,105,399.1151,4001151,76
102,3,102,398.8053,3998053,68
1379,2,114,395.7229,3967229,56
722,2,108,394.7255,3957255,74
1378,1,114,394.1689,3951689,84
618,4,107,393.3376,3943376,46
723,3,108,391.399,3923990,48
410,5,105,390.9474,3919474,50
3,4,101,388.6964,3896964,58
511,2,106,388.0426,3890426,72
207,7,103,383.7672,3847672,44
2073,3,120,381.6941,3826941,50
830,3,109,379.8706,3808706,52
203,3,103,379.1383,3801383,62
512,3,106,378.9562,3799562,56
305,3,104,378.9231,3799231,62
101,2,102,374.5087,3755087,80
202,2,103,373.0821,3740821,78
1,2,101,366.3546,3673546,82
2,3,101,364.9218,3659218,68
828,1,109,364.8026,3658026,86
1158,4,112,364.2696,3652696,50
1838,3,118,363.8949,3648949,50
104,5,102,361.981,3629810,56
1266,1,113,361.5511,3625511,82
936,1,110,359.746,3607460,86
1155,1,112,358.1724,3591724,80
103,4,102,357.1489,3581489,60
1045,1,111,353.7489,3547489,80
721,1,108,353.696,3546960,94
409,4,105,353.1039,3541039,48
306,4,104,350.9656,3519656,52
304,2,104,350.3016,3513016,76
1955,3,119,349.0847,3500847,50
7,8,101,348.8243,3498243,44
206,6,103,345.2381,3462381,46
309,7,104,344.3154,3453154,42
1269,4,113,343.6196,3446196,50
204,4,103,339.7255,3407255,58
831,4,109,339.6889,3406889,46
308,6,104,339.674,3406740,50
516,7,106,338.1893,3391893,42
107,8,102,336.4402,3374402,44
938,3,110,333.2861,3342861,50
513,4,106,333.1918,3341918,48
2074,4,120,332.7163,3337163,42
208,8,103,332.3513,3333513,40
1722,3,117,330.1097,3311097,52
1381,4,114,329.822,3308220,48
1048,4,111,324.8415,3258415,46
105,6,102,321.7139,3227139,50
939,4,110,317.6781,3186781,44
1157,3,112,313.5025,3145025,52
412,7,105,312.7841,3137841,44
1268,3,113,311.8054,3128054,52
834,7,109,311.7189,3127189,38
515,6,106,311.5082,3125082,42
1493,3,115,311.3469,3123469,54
1956,4,119,310.8908,3118908,44
411,6,105,310.8687,3118687,50
1380,3,114,310.7628,3117628,52
1494,4,115,310.3482,3113482,48
1047,3,111,307.334,3083340,50
724,4,108,307.0604,3080604,46
1608,4,116,305.9017,3069017,48
727,7,108,304.5664,3055664,38
2079,9,120,303.1024,3041024,32
406,1,105,302.3834,3033834,108
1839,4,118,297.6495,2986495,46
615,1,107,297.3434,2983434,98
1607,3,116,296.8276,2978276,54
729,9,108,292.9645,2939645,38
621,7,107,292.9442,2939442,40
1723,4,117,291.883,2928830,44
310,8,104,291.3767,2923767,42
2183,113,120,290.2468,2912468,44
1843,8,118,289.8562,2908562,36
5,6,101,287.9275,2889275,48
622,8,107,284.8968,2858968,38
942,7,110,284.821,2858210,38
6,7,101,281.2047,2822047,52
620,6,107,279.8193,2808193,40
619,5,107,279.2914,2802914,46
1051,7,111,279.0556,2800556,38
2062,110,119,277.2462,2782462,40
1959,7,119,276.2296,2772296,36
1961,9,119,276.0308,2770308,36
8,9,101,275.7375,2767375,44
1727,8,117,274.5534,2755534,36
2075,5,120,274.1654,2751654,38
514,5,106,273.9366,2749366,48
1161,7,112,273.2045,2742045,38
836,9,109,272.5447,2735447,36
510,1,106,272.4679,2734679,102
209,9,103,271.7054,2727054,40
303,1,104,271.1585,2721585,100
2078,8,120,270.83,2718300,34
2180,110,120,269.9589,2709589,40
1842,7,118,268.1344,2691344,36
1830,111,117,267.5838,2685838,50
517,8,106,267.2267,2682267,40
1947,112,118,266.7749,2677749,50
833,6,109,265.5241,2665241,38
108,9,102,265.2375,2662375,40
943,8,110,264.6722,2656722,38
1960,8,119,262.0389,2630389,36
1958,6,119,261.3476,2623476,36
1162,8,112,260.3936,2613936,38
835,8,109,260.316,2613160,36
1382,5,114,259.1308,2601308,42
1272,7,113,258.3514,2593514,38
413,8,105,258.3478,2593478,42
944,9,110,258.1671,2591671,36
2076,6,120,257.7633,2587633,36
315,13,104,257.5884,2585884,36
201,1,103,256.8408,2578408,98
1499,9,115,255.11559999999997,2561156,34
1050,6,111,254.7503,2557503,38
1271,6,113,253.756,2547560,38
311,9,104,253.6353,2546353,38
941,6,110,253.4119,2544119,38
623,9,107,253.0938,2540938,38
940,5,110,252.6824,2536824,42
414,9,105,252.6803,2536803,40
1159,5,112,252.6614,2536614,38
1052,8,111,252.1229,2531229,36
9,10,101,250.8863,2518863,38
213,13,103,250.6589,2516589,36
10,11,101,250.6456,2516456,36
521,12,106,250.364,2513640,38
418,13,105,250.162,2511620,36
