,fast_ma,slow_ma,profit,end_capital,number_of_trades
839,24,58,84.4828,854828,68
70,31,42,84.3894,853894,92
840,25,58,84.3359,853359,70
314,14,48,84.2608,852608,78
678,28,55,84.1637,851637,68
469,25,51,83.887,848870,76
252,43,46,83.7985,847985,148
322,22,48,83.7817,847817,76
987,57,60,82.9592,839592,120
464,20,51,82.7484,837484,74
420,25,50,82.6336,836336,76
253,44,46,82.5137,835137,178
415,20,50,82.3682,833682,74
841,26,58,82.3124,833124,68
977,47,60,82.3043,833043,74
577,32,53,82.0709,830709,80
343,43,48,81.967,829670,116
573,28,53,81.7919,827919,74
960,30,60,81.7012,827012,68
527,33,52,81.5251,825251,78
434,39,50,81.2041,822041,82
423,28,50,81.0393,820393,74
845,30,58,80.9858,819858,68
753,49,56,80.9446,819446,92
435,40,50,80.9026,819026,86
901,29,59,80.727,817270,66
73,34,42,80.3046,813046,104
902,30,59,80.2173,812173,66
362,15,49,80.1523,811523,76
233,24,46,79.9921,809921,76
826,11,58,79.8905,808905,74
978,48,60,79.6012,806012,74
930,58,59,79.522,805220,202
844,29,58,79.4474,804474,66
484,40,51,79.2426,802426,82
957,27,60,79.1145,801145,66
385,38,49,78.9942,799942,84
72,33,42,78.9556,799556,100
515,21,52,78.7563,797563,74
568,23,53,78.5307,795307,74
770,11,57,78.4038,794038,74
276,22,47,78.3061,793061,76
627,30,54,78.0496,790496,72
961,31,60,77.9801,789801,66
788,29,57,77.8967,788967,70
517,23,52,77.8564,788564,74
523,29,52,77.7443,787443,74
518,24,52,77.5762,785762,76
575,30,53,77.2718,782718,74
476,32,51,77.0265,780265,78
250,41,46,76.758,777580,120
436,41,50,76.7496,777496,90
635,38,54,76.3356,773356,80
189,24,45,75.9594,769594,76
959,29,60,75.7795,767795,68
531,37,52,75.5703,765703,82
39,40,41,75.4829,764829,248
249,40,46,75.4756,764756,116
533,39,52,75.4422,764422,78
251,42,46,75.3528,763528,134
33,34,41,75.2908,762908,118
528,34,52,75.1043,761043,78
976,46,60,74.7822,757822,74
474,30,51,74.5491,755491,78
927,55,59,74.5466,755466,112
339,39,48,74.492,754920,90
752,48,56,74.3154,753154,88
526,32,52,74.0987,750987,76
372,25,49,73.5878,745878,76
483,39,51,73.4863,744863,80
342,42,48,73.148,741480,112
481,37,51,73.0784,740784,80
985,55,60,72.6444,736444,106
786,27,57,72.5132,735132,66
806,47,57,72.4855,734855,78
165,43,44,72.2896,732896,230
297,43,47,72.2326,732326,128
968,38,60,72.0647,730647,72
958,28,60,71.9472,729472,68
984,54,60,71.9067,729067,98
986,56,60,71.8533,728533,110
789,30,57,71.6398,726398,72
787,28,57,71.5555,725555,66
468,24,51,71.4795,724795,76
809,50,57,71.4453,724453,90
900,28,59,71.437,724370,66
341,41,48,71.4159,724159,100
846,31,58,71.4051,724051,68
277,23,47,71.4045,724045,76
482,38,51,71.0833,720833,80
626,29,54,71.0763,720763,72
390,43,49,70.8859,718859,110
919,47,59,70.8662,718662,74
387,40,49,70.5652,715652,92
278,24,47,70.2607,712607,76
578,33,53,70.1654,711654,76
205,40,45,69.9102,709102,122
432,37,50,69.7884,707884,82
371,24,49,69.6861,706861,76
466,22,51,69.5764,705764,74
294,40,47,69.3844,703844,102
522,28,52,69.1702,701702,76
913,41,59,68.9813,699813,76
574,29,53,68.9018,699018,74
962,32,60,68.7877,697877,68
295,41,47,68.6536,696536,110
921,49,59,68.5242,695242,76
419,24,50,68.1929,691929,74
247,38,46,68.1584,691584,92
209,44,45,68.1389,691389,230
628,31,54,68.0546,690546,74
293,39,47,67.8995,688995,94
35,36,41,67.8492,688492,138
232,23,46,67.772,687720,76
338,38,48,67.5292,685292,90
530,36,52,67.4744,684744,82
688,38,55,67.3578,683578,78
114,34,43,67.284,682840,100
851,36,58,67.2237,682237,76
903,31,59,67.126,681260,70
732,28,56,67.0549,680549,70
842,27,58,66.9894,679894,66
629,32,54,66.9253,679253,76
908,36,59,66.7949,677949,72
909,37,59,66.7838,677838,70
292,38,47,66.7007,677007,92
679,29,55,66.6539,676539,70
899,27,59,66.588,675880,68
425,30,50,66.5851,675851,76
370,23,49,66.4897,674897,76
480,36,51,66.437,674370,82
582,37,53,66.4345,674345,82
680,30,55,66.2946,672946,70
248,39,46,66.2461,672461,104
576,31,53,66.0516,670516,76
579,34,53,65.715,667150,78
428,33,50,65.6828,666828,78
584,39,53,65.5974,665974,80
323,23,48,64.9647,659647,76
485,41,51,64.9171,659171,86
417,22,50,64.5854,655854,76
296,42,47,64.542,655420,120
344,44,48,64.4829,654829,132
918,46,59,63.95869999999999,649587,78
291,37,47,63.6281,646281,92
206,41,45,63.4353,644353,128
388,41,49,63.393100000000004,643931,98
969,39,60,63.1559,641559,70
970,40,60,63.025000000000006,640250,74
967,37,60,62.9814,639814,70
906,34,59,62.8591,638591,74
524,30,52,62.7694,637694,76
862,47,58,62.7004,637004,80
427,32,50,62.6211,636211,78
741,37,56,62.4525,634525,78
860,45,58,62.2301,632301,78
914,42,59,62.2169,632169,74
340,40,48,62.0835,630835,94
431,36,50,61.9671,629671,84
907,35,59,61.9004,629004,76
630,33,54,61.7656,627656,78
424,29,50,61.7511,627511,80
369,22,49,61.625,626250,74
739,35,56,61.5713,625713,78
956,26,60,61.4971,624971,68
859,44,58,61.4744,624744,76
912,40,59,61.4068,624068,72
858,43,58,61.37,623700,76
988,58,60,60.8297,618297,142
636,39,54,60.3252,613252,80
418,23,50,60.0847,610847,74
682,32,55,59.8523,608523,74
298,44,47,59.6445,606445,144
856,41,58,59.633,606330,76
532,38,52,59.363,603630,78
478,34,51,59.258,602580,78
971,41,60,58.6399,596399,76
534,40,52,58.6161,596161,78
681,31,55,58.6086,596086,72
980,50,60,58.5131,595131,78
426,31,50,58.3698,593698,78
963,33,60,58.1628,591628,72
904,32,59,58.081,590810,72
861,46,58,57.9931,589931,80
430,35,50,57.9262,589262,80
379,32,49,57.8983,588983,78
437,42,50,57.8904,588904,100
966,36,60,57.7519,587519,72
922,50,59,57.3851,583851,80
905,33,59,57.3683,583683,72
754,50,56,57.246,582460,104
843,28,58,56.9308,579308,66
381,34,49,56.7599,577599,80
475,31,51,56.7504,577504,76
975,45,60,56.7252,577252,74
796,37,57,56.6736,576736,76
743,39,56,56.5293,575293,76
740,36,56,56.4868,574868,78
910,38,59,56.1851,571851,76
580,35,53,56.1308,571308,78
525,31,52,56.1292,571292,78
438,43,50,56.0241,570241,102
872,57,58,55.992,569920,198
799,40,57,55.9534,569534,74
804,45,57,55.8881,568881,80
625,28,54,55.8378,568378,70
735,31,56,55.6046,566046,70
332,32,48,55.5078,565078,78
467,23,51,55.4202,564202,76
631,34,54,55.0964,560964,76
479,35,51,55.0239,560239,78
583,38,53,54.8343,558343,80
700,50,55,54.3645,553645,106
197,32,45,54.2331,552331,84
377,30,49,54.2049,552049,74
336,36,48,54.0804,550804,80
871,56,58,53.9698,549698,146
865,50,58,53.9364,549364,84
965,35,60,53.7999,547999,76
911,39,59,53.7459,547459,72
477,33,51,53.6017,546017,78
738,34,56,53.4505,544505,74
594,49,53,53.441,544410,122
857,42,58,53.3337,543337,76
543,49,52,53.2783,542783,136
586,41,53,53.262,542620,80
376,29,49,53.1069,541069,78
687,37,55,52.9874,539874,78
742,38,56,52.6679,536679,76
847,32,58,52.338,533380,72
850,35,58,52.253,532530,72
285,31,47,52.1213,531213,78
798,39,57,51.9359,529359,74
982,52,60,51.9246,529246,82
699,49,55,51.6515,526515,104
646,49,54,51.3739,523739,110
686,36,55,51.2293,522293,76
383,36,49,50.834,518340,80
337,37,48,50.6473,516473,84
683,33,55,50.5772,515772,76
797,38,57,50.4378,514378,72
736,32,56,50.4368,514368,70
795,36,57,50.2601,512601,78
972,42,60,50.1439,511439,74
121,41,43,50.0811,510811,180
793,34,57,49.9842,509842,72
734,30,56,49.983,509830,70
852,37,58,49.945,509450,76
391,44,49,49.8837,508837,116
286,32,47,49.8075,508075,78
163,41,44,49.7535,507535,156
592,47,53,49.7278,507278,104
981,51,60,49.7194,507194,82
585,40,53,49.5609,505609,78
335,35,48,49.4605,504605,78
595,50,53,49.069,500690,142
120,40,43,48.9642,499642,156
701,51,55,48.9164,499164,116
790,31,57,48.8912,498912,70
794,35,57,48.4273,494273,74
792,33,57,48.4003,494003,70
473,29,51,48.3222,493222,78
634,37,54,48.3036,493036,78
300,46,47,48.2693,492693,224
632,35,54,48.2197,492197,76
384,37,49,48.1217,491217,82
898,26,59,48.0902,490902,70
698,48,55,48.0573,490573,94
917,45,59,47.777,487770,78
964,34,60,47.756,487560,72
916,44,59,47.6992,486992,80
974,44,60,47.4436,484436,74
345,45,48,47.4236,484236,146
378,31,49,47.3583,483583,76
