,fast_ma,slow_ma,profit,end_capital,number_of_trades
4,5,61,316.0301,3170301,88
188,6,64,279.4497,2804497,80
185,3,64,263.3852,2643852,106
250,5,65,260.901,2619010,82
662,18,71,259.8394,2608394,50
937,7,75,259.0566,2600566,64
187,5,64,257.9958,2589958,82
126,6,63,254.7515,2557515,82
651,7,71,251.8866,2528866,66
1227,72,78,250.7932,2517932,68
125,5,63,246.7951,2477951,84
592,17,70,245.2481,2462481,50
801,16,73,245.0442,2460442,56
1323,13,80,240.2818,2412818,52
380,6,67,239.6314,2406314,82
508,1,69,239.274,2402740,152
3,4,61,238.0692,2390692,90
124,4,63,237.6154,2386154,90
730,16,72,237.5048,2385048,54
5,6,61,235.2122,2362122,86
524,17,69,233.8887,2348887,50
1007,3,76,232.4712,2334712,94
593,18,70,232.0006,2330006,50
1161,6,78,231.1962,2321962,66
1322,12,80,230.3789,2313789,56
1238,6,79,229.5676,2305676,64
446,6,68,227.8297,2288297,78
65,6,62,227.7652,2287652,84
64,5,62,226.12,2271200,86
582,7,70,226.0044,2270044,68
660,16,71,225.3273,2263273,54
1316,6,80,225.0625,2260625,64
800,15,73,224.6378,2256378,56
945,15,75,223.9404,2249404,60
449,9,68,223.1229,2241229,66
251,6,65,223.0266,2240266,84
581,6,70,222.9821,2239821,76
731,17,72,221.9256,2229256,50
62,3,62,221.6987,2226987,102
63,4,62,220.3182,2213182,92
591,16,70,218.745,2197450,50
1321,11,80,218.0625,2190625,56
1153,74,77,216.9643,2179643,98
314,5,66,214.4206,2154206,86
661,17,71,213.9028,2149028,50
594,19,70,213.7282,2147282,54
137,17,63,213.6124,2146124,66
729,15,72,213.501,2145010,56
310,1,66,212.7787,2137787,158
1244,12,79,212.1634,2131634,54
197,15,64,211.7417,2127417,60
526,19,69,211.6678,2126678,52
874,17,74,211.4607,2124607,54
1,2,61,210.5678,2115678,122
793,8,73,210.2247,2112247,64
315,6,66,209.6847,2106847,76
802,17,73,209.4726,2104726,52
458,18,68,209.399,2103990,52
936,6,75,208.8906,2098906,70
525,18,69,208.6817,2096817,50
513,6,69,207.7561,2087561,72
323,14,66,207.6443,2086443,60
1086,7,77,205.5192,2065192,64
583,8,70,204.4044,2054044,64
123,3,63,204.3077,2053077,106
6,7,61,204.1855,2051855,80
258,13,65,204.0072,2050072,62
650,6,71,202.883,2038830,74
198,16,64,202.6631,2036631,58
379,5,67,202.075,2030750,80
652,8,71,201.9855,2029855,64
1152,73,77,200.8997,2018997,84
944,14,75,200.8444,2018444,58
136,16,63,199.4973,2004973,64
871,14,74,198.93,1999300,58
933,3,75,198.275,1992750,94
514,7,69,198.2428,1992428,72
717,3,72,197.5032,1985032,104
2,3,61,197.1646,1981646,96
382,8,67,197.0722,1980722,70
515,8,69,197.0241,1980241,68
1162,7,78,195.653,1966530,64
1011,7,76,195.6414,1966414,62
320,11,66,195.6225,1966225,64
1243,11,79,195.4019,1964019,58
375,1,67,194.583,1955830,158
732,18,72,194.5822,1955822,50
385,11,67,193.7969,1947969,64
663,19,71,193.7209,1947209,52
1158,3,78,193.5465,1945465,92
1246,14,79,193.1675,1941675,54
194,12,64,192.8897,1938897,62
511,4,69,192.5562,1935562,92
457,17,68,192.2914,1932914,52
259,14,65,191.0758,1920758,60
441,1,68,190.8628,1918628,154
791,6,73,190.5838,1915838,72
579,4,70,190.272,1912720,86
391,17,67,190.074,1910740,52
324,15,66,189.9734,1909734,56
1324,14,80,189.5383,1905383,52
448,8,68,189.0398,1900398,72
183,1,64,188.4418,1894418,158
265,20,65,188.1228,1891228,58
455,15,68,188.0336,1890336,54
580,5,70,187.6279,1886279,78
947,17,75,187.2815,1882815,56
257,12,65,187.0616,1880616,64
321,12,66,186.9556,1879556,64
135,15,63,186.5471,1875471,62
445,5,68,186.4111,1874111,86
317,8,66,186.113,1871130,72
1304,72,79,185.9325,1869325,62
190,8,64,185.5727,1865727,74
1092,13,77,185.4673,1864673,56
383,9,67,185.1672,1861672,68
262,17,65,184.9013,1859013,58
199,17,64,184.5341,1855341,60
1012,8,76,184.313,1853130,58
1018,14,76,184.1736,1851736,56
938,8,75,184.1169,1851169,58
648,4,71,184.0932,1850932,84
388,14,67,183.9388,1849388,56
860,3,74,183.776,1847760,94
61,2,62,183.5137,1845137,122
1019,15,76,183.3716,1843716,54
1156,1,78,183.259,1842590,156
1228,73,78,183.1366,1841366,80
263,18,65,182.8707,1838707,58
872,15,74,182.7798,1837798,58
1017,13,76,182.3518,1833518,56
132,12,63,182.2751,1832751,66
1311,1,80,181.8246,1828246,142
1169,14,78,181.4692,1824692,54
723,9,72,181.4109,1824109,64
863,6,74,181.2456,1822456,70
512,5,69,180.9989,1819989,80
1315,5,80,180.9787,1819787,70
1325,15,80,180.9739,1819739,50
1247,15,79,180.8212,1818212,52
253,8,65,180.572,1815720,72
