,fast_ma,slow_ma,profit,end_capital,number_of_trades
37,2,10,53.3764,543764,458
36,1,10,39.3043,403043,570
38,3,10,39.2008,402008,400
43,8,10,35.892,368920,498
3,1,4,33.8233,348233,1052
21,1,8,32.5016,335016,630
39,4,10,31.3003,323003,400
29,2,9,29.5677,305677,488
17,3,7,29.168,301680,552
19,5,7,29.1279,301279,632
15,1,7,28.3009,293009,718
30,3,9,26.9108,279108,450
23,3,8,26.7533,277533,482
31,4,9,25.4889,264889,436
28,1,9,22.3218,233218,606
18,4,7,21.2658,222658,570
14,5,6,20.4089,214089,854
24,4,8,20.1874,211874,476
10,1,6,19.7571,207571,798
20,6,7,18.9212,199212,804
6,1,5,18.7245,197245,872
40,5,10,18.3855,193855,388
25,5,8,18.1295,191295,496
42,7,10,17.0819,180819,426
32,5,9,15.532699999999998,165327,428
22,2,8,14.5136,155136,522
16,2,7,13.0321,140321,572
11,2,6,12.7372,137372,650
12,3,6,12.6409,136409,646
44,9,10,12.5799,135799,666
41,6,10,8.6219,96219,408
5,3,4,7.6434,86434,1110
13,4,6,6.2281,72281,688
8,3,5,6.2256,72256,794
26,6,8,6.1293,71293,578
35,8,9,5.9439,69439,702
33,6,9,5.6187,66187,464
7,2,5,5.5516,65516,756
34,7,9,4.8004,58004,526
4,2,4,4.3588,53588,986
9,4,5,3.3920000000000003,43920,934
27,7,8,3.3822,43822,744
2,2,3,3.3048,43048,1336
1,1,3,2.9468,39468,1328
0,1,2,0.5083,15083,1880
