Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4521459187712,138663908,0.31,0.69,4.62,1.95,-1.03,-1.32,-10.14,29.06,53.97,602.75,662.44,2034.33
2,AAPL,Apple Inc.,3833366052864,25826274,0.07,-0.01,1.3,-1.48,-1.34,1.08,-3.11,29.83,15.46,65.26,79.32,241.78
3,GOOGL,Alphabet Inc.,3734344302592,23945198,0.06,0.54,3.48,0.78,1.84,-7.66,12.58,87.3,91.31,197.45,112.87,349.4
3,GOOG,Alphabet Inc.,3730957139968,13279728,0.04,0.49,3.47,0.74,1.55,-7.87,12.24,86.2,89.56,195.53,112.36,349.37
4,MSFT,Microsoft Corporation,3009221230592,25374129,0.08,-0.22,-1.0,1.59,1.55,-15.56,-24.93,-16.21,-4.56,46.2,30.01,130.51
5,AMZN,"Amazon.com, Inc.",2282780884992,33810699,0.15,-0.78,-0.26,2.04,3.84,-13.09,-7.66,2.01,9.64,117.37,25.37,75.29
6,META,"Meta Platforms, Inc.",1656504713216,8924999,0.05,0.12,1.55,0.2,1.81,-2.69,-12.81,-6.11,16.71,208.15,111.21,209.32
7,AVGO,Broadcom Inc.,1619476873216,17092959,0.11,-0.29,3.36,7.14,2.42,2.64,-11.34,35.09,97.66,475.15,609.41,1327.25
8,TSLA,"Tesla, Inc.",1530316849152,62101725,0.41,2.15,2.8,1.12,-0.85,-5.36,-11.63,16.96,60.39,125.89,17.88,651.85
9,WMT,Walmart Inc.,984567382016,18109952,0.18,-1.3,-0.25,-2.84,-2.47,5.6,20.77,26.73,54.89,156.26,165.63,213.02
10,ASML,ASML Holding N.V. - New York Re,544491962368,1164038,0.02,0.24,7.26,-2.59,-5.59,-4.54,29.67,78.85,72.61,117.51,80.82,378.27
11,MU,"Micron Technology, Inc.",471239458816,29707921,0.63,3.86,13.07,1.46,-0.54,2.06,84.82,243.64,347.96,584.19,527.96,834.49
12,COST,Costco Wholesale Corporation,440244502528,1259746,0.03,-0.51,-0.59,-1.05,-0.39,2.4,9.05,-0.81,10.93,111.18,113.42,257.38
13,NFLX,"Netflix, Inc.",402512904192,33596392,0.83,-2.11,-4.17,-2.27,21.67,10.88,-13.77,-24.3,31.38,186.65,43.14,109.66
14,PLTR,Palantir Technologies Inc.,362578051072,33603400,0.93,0.3,-3.54,4.43,11.98,-8.51,-23.75,8.35,310.84,1719.93,504.95,
15,AMD,"Advanced Micro Devices, Inc.",333957070848,22637223,0.68,0.79,6.44,3.13,2.35,-18.73,-22.51,58.07,29.38,121.85,67.51,275.22
