Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4376115281920,169842350,0.39,-1.33,-2.62,-5.15,-5.26,-3.32,-0.61,24.19,54.23,544.38,709.43,2213.55
2,AAPL,Apple Inc.,3876577869824,37994695,0.1,-0.37,-3.37,-0.31,-3.96,3.31,0.56,32.81,22.73,61.02,81.45,251.02
3,GOOGL,Alphabet Inc.,3672407277568,35347940,0.1,-0.96,-1.24,-3.62,-6.39,-8.01,21.29,73.05,93.04,193.09,113.54,341.91
3,GOOG,Alphabet Inc.,3672165318656,19747708,0.05,-0.91,-1.17,-3.6,-6.42,-8.11,20.86,71.8,91.89,191.52,112.65,340.57
4,MSFT,Microsoft Corporation,3002160381952,37947881,0.13,1.35,0.55,1.69,-2.12,-11.96,-21.65,-15.16,-5.26,43.96,36.0,130.25
5,AMZN,"Amazon.com, Inc.",2240699957248,42680032,0.19,0.16,0.39,-0.66,0.0,-12.71,-5.99,-2.11,12.89,103.82,21.21,75.43
6,META,"Meta Platforms, Inc.",1657061244928,10683391,0.06,0.23,-0.29,-0.09,-3.27,5.62,-10.59,-5.31,23.33,209.6,94.02,210.65
7,AVGO,Broadcom Inc.,1488001302528,20412225,0.14,-1.56,-2.44,-5.65,-8.75,-10.77,-8.24,23.29,94.23,407.26,568.06,1204.23
8,TSLA,"Tesla, Inc.",1472566788096,62317429,0.42,-2.7,-3.95,-4.71,-5.96,-10.3,-11.34,22.98,73.04,101.48,36.22,618.37
9,WMT,Walmart Inc.,1019807399936,16423656,0.16,0.64,2.81,4.0,-0.86,6.86,20.67,35.47,60.65,166.6,180.54,236.67
10,ASML,ASML Holding N.V. - New York Re,534384902144,1956288,0.04,-4.4,-7.03,-7.39,-4.67,0.31,33.18,74.08,71.72,107.35,77.47,370.15
11,COST,Costco Wholesale Corporation,447407259648,1776575,0.04,0.5,2.13,2.28,1.02,4.58,7.65,0.79,11.73,110.89,126.67,258.72
12,MU,"Micron Technology, Inc.",427333353472,38513674,0.9,-7.99,-8.63,-11.32,-1.0,4.67,87.77,227.45,338.0,546.2,475.1,706.5
