,fast_ma,slow_ma,profit,end_capital,number_of_trades
1056,82,167,70.6196,716196,16
1799,155,171,70.6181,716181,28
3118,86,179,70.5878,715878,14
1366,59,169,70.5754,715754,14
2380,50,175,70.5383,715383,14
541,59,164,70.5017,715017,14
1548,73,170,70.4894,714894,14
1702,58,171,70.4862,714862,14
2244,87,174,70.4359,714359,14
2916,61,178,70.4169,714169,14
1550,75,170,70.4043,714043,14
705,60,165,70.3741,713741,14
2567,63,176,70.3493,713493,14
2554,50,176,70.331,713310,14
2853,174,177,70.303,713030,60
1549,74,170,70.3012,713012,14
892,83,166,70.2682,712682,16
2241,84,174,70.2577,712577,14
866,57,166,70.2541,712541,14
1443,136,169,70.2253,712253,22
2046,61,173,70.2184,712184,14
531,49,164,70.218,712180,14
3271,61,180,70.2038,712038,14
1813,169,171,70.1315,711315,72
1551,76,170,70.1164,711164,14
1362,55,169,70.1106,711106,14
2406,76,175,70.1016,711016,14
2747,68,177,70.085,710850,14
2944,89,178,70.0812,710812,14
3182,150,179,70.0675,710675,20
2743,64,177,70.0449,710449,14
1693,49,171,70.0328,710328,14
1525,50,170,70.0323,710323,14
2935,80,178,69.9994,709994,14
1865,51,172,69.9812,709812,14
2999,144,178,69.963,709630,18
1886,72,172,69.9557,709557,14
1195,55,168,69.9193,709193,14
1962,148,172,69.8933,708933,22
544,62,164,69.8256,708256,14
538,56,164,69.7882,707882,14
3111,79,179,69.7724,707724,14
2227,70,174,69.7565,707565,14
2653,149,176,69.7513,707513,20
2314,157,174,69.7309,707309,26
222,63,162,69.724,707240,14
2580,76,176,69.7195,707195,14
3100,68,179,69.6916,706916,14
2400,70,175,69.6825,706825,14
1976,162,172,69.6295,706295,28
3112,80,179,69.6223,706223,14
1060,86,167,69.6067,706067,16
2377,47,175,69.5987,705987,14
2204,47,174,69.5987,705987,14
393,73,163,69.5915,705915,16
2408,78,175,69.5851,705851,14
3094,62,179,69.5801,705801,14
895,86,166,69.559,705590,16
2376,46,175,69.5418,705418,14
2150,165,173,69.506,705060,38
2654,150,176,69.4931,704931,20
2593,89,176,69.4813,704813,14
1294,154,168,69.4493,704493,30
2945,90,178,69.4305,704305,14
1029,55,167,69.4165,704165,14
73,74,161,69.4162,704162,18
2238,81,174,69.408,704080,14
883,74,166,69.4028,704028,14
1048,74,167,69.3982,703982,14
3018,163,178,69.3809,703809,22
3122,90,179,69.3759,703759,14
1718,74,171,69.3699,703699,14
3254,44,180,69.3644,703644,14
1557,82,170,69.3468,703468,14
871,62,166,69.33,703300,14
3255,45,180,69.288,702880,14
3117,85,179,69.2754,702754,14
1633,158,170,69.2037,702037,26
2407,77,175,69.1427,701427,14
3299,89,180,69.1424,701424,14
377,57,163,69.0767,700767,14
2759,80,177,69.0716,700716,14
3289,79,180,69.0694,700694,14
1295,155,168,69.0622,700622,28
567,85,164,69.0549,700549,16
2074,89,173,69.0518,700518,14
1786,142,171,69.0335,700335,22
706,61,165,68.9706,699706,14
3077,45,179,68.9654,699654,14
72,73,161,68.9041,699041,16
234,75,162,68.8719,698719,16
1970,156,172,68.8456,698456,26
2563,59,176,68.8102,698102,14
1725,81,171,68.7442,697442,14
1451,144,169,68.7287,697287,22
2760,81,177,68.677,696770,14
3290,80,180,68.6732,696732,14
2412,82,175,68.6724,696724,14
2203,46,174,68.6404,696404,14
2571,67,176,68.6327,696327,14
1361,54,169,68.6327,696327,14
1369,62,169,68.6141,696141,14
2142,157,173,68.6124,696124,26
1973,159,172,68.6027,696027,26
3193,161,179,68.5775,695775,22
1202,62,168,68.5666,695666,14
61,62,161,68.5429,695429,14
218,59,162,68.5197,695197,14
540,58,164,68.5082,695082,14
2758,79,177,68.4716,694716,14
58,59,161,68.4715,694715,14
2943,88,178,68.4485,694485,14
1351,44,169,68.4024,694024,14
2586,82,176,68.3996,693996,14
1951,137,172,68.393,693930,22
2766,87,177,68.3731,693731,14
1536,61,170,68.3676,693676,14
3123,91,179,68.3185,693185,14
2147,162,173,68.2728,692728,28
1200,60,168,68.2303,692303,14
2728,49,177,68.2199,692199,14
2923,68,178,68.21,692100,14
1894,80,172,68.1908,691908,14
3004,149,178,68.1798,691798,20
2727,48,177,68.1715,691715,14
2037,52,173,68.1597,691597,14
2410,80,175,68.1588,691588,14
2573,69,176,68.1572,691572,14
3121,89,179,68.1454,691454,14
2744,65,177,68.1157,691157,14
729,84,165,68.0659,690659,16
2209,52,174,68.0655,690655,14
3194,162,179,68.0467,690467,20
3078,46,179,68.0421,690421,14
2379,49,175,68.0333,690333,14
235,76,162,67.9832,689832,16
2903,48,178,67.9804,689804,14
1057,83,167,67.9713,689713,16
1030,56,167,67.9377,689377,14
2044,59,173,67.9268,689268,14
1698,54,171,67.9081,689081,14
3256,46,180,67.904,689040,14
2918,63,178,67.8995,688995,14
530,48,164,67.8971,688971,14
2553,49,176,67.8841,688841,14
2569,65,176,67.8778,688778,14
1528,53,170,67.8299,688299,14
1874,60,172,67.7968,687968,14
1861,47,172,67.7639,687639,14
2552,48,176,67.7089,687089,14
3293,83,180,67.699,686990,14
1863,49,172,67.6618,686618,14
2206,49,174,67.6543,686543,14
3096,64,179,67.6283,686283,14
2032,47,173,67.6196,686196,14
2033,48,173,67.6037,686037,14
2754,75,177,67.5791,685791,14
137,138,161,67.559,685590,26
1615,140,170,67.5313,685313,22
629,147,164,67.4842,684842,28
1896,82,172,67.4816,684816,14
1724,80,171,67.479,684790,14
2582,78,176,67.447,684470,14
1862,48,172,67.4142,684142,14
2920,65,178,67.4013,684013,14
2034,49,173,67.4008,684008,14
1783,139,171,67.3879,683879,22
1441,134,169,67.3356,683356,22
1554,79,170,67.323,683230,14
1555,80,170,67.3204,683204,14
1370,63,169,67.29,682900,14
693,48,165,67.268,682680,14
2236,79,174,67.2596,682596,14
238,79,162,67.1952,681952,16
1387,80,169,67.1622,681622,14
2141,156,173,67.118,681180,26
951,142,166,67.0971,680971,26
1534,59,170,67.0644,680644,14
2036,51,173,67.0621,680621,14
2592,88,176,67.0426,680426,14
1875,61,172,67.0122,680122,14
560,78,164,66.9884,679884,16
1115,141,167,66.9499,679499,24
2208,51,174,66.9488,679488,14
