,fast_ma,slow_ma,profit,end_capital,number_of_trades
405,5,203,339.0328,3400328,28
810,5,205,335.3252,3363252,28
607,5,204,335.3252,3363252,28
1632,5,209,323.5744,3245744,26
1840,5,210,322.9899,3239899,28
1219,5,207,321.6058,3226058,26
1014,5,206,321.6058,3226058,26
609,7,204,312.6995,3136995,26
1426,6,208,312.4682,3134682,24
1633,6,209,312.1131,3131131,24
1841,6,210,311.7711,3127711,26
1425,5,208,311.7649,3127649,26
1220,6,207,307.1954,3081954,24
1016,7,206,306.4239,3074239,24
812,7,205,306.4239,3074239,24
407,7,203,305.9183,3069183,26
7,8,201,305.5988,3065988,26
2471,6,213,302.9556,3039556,24
2683,6,214,302.9231,3039231,24
2050,6,211,302.9214,3039214,26
811,6,205,301.5282,3025282,26
204,5,202,301.5179,3025179,28
207,8,202,301.2688,3022688,24
1427,7,208,301.2549,3022549,24
1221,7,207,301.2549,3022549,24
2049,5,211,300.5512,3015512,26
408,8,203,300.2242,3012242,26
2470,5,213,299.7326,3007326,26
3320,1,217,297.3697,2983697,74
3541,6,218,294.9847,2959847,30
2896,6,215,294.8084,2958084,26
813,8,205,294.0317,2950317,24
6,7,201,290.4469,2914469,26
2682,5,214,290.4232,2914232,26
3325,6,217,289.8256,2908256,28
4,5,201,289.1866,2901866,28
1634,7,209,288.8662,2898662,24
2260,6,212,288.7534,2897534,24
610,8,204,288.6779,2896779,24
2263,9,212,287.9483,2889483,22
2053,9,211,285.3958,2863958,22
1015,6,206,285.0082,2860082,24
3536,1,218,284.6168,2856168,66
406,6,203,284.5199,2855199,26
2054,10,211,284.2534,2852534,20
3976,6,220,284.1472,2851472,26
1845,10,210,284.0052,2850052,22
2259,5,212,283.9462,2849462,24
3326,7,217,283.9157,2849157,24
1424,4,208,283.4914,2844914,28
2681,4,214,283.1576,2841576,28
206,7,202,283.1396,2841396,26
3112,8,216,281.1556,2821556,22
2898,8,215,281.1556,2821556,22
2685,8,214,281.1556,2821556,22
3542,7,218,279.7857,2807857,26
1836,1,210,279.5528,2805528,62
3,4,201,279.2348,2802348,30
1218,4,207,279.2201,2802201,28
3109,5,216,278.8273,2798273,28
2895,5,215,278.7532,2797532,28
3110,6,216,278.6058,2796058,26
1017,8,206,277.9577,2789577,24
3758,6,219,277.8404,2788404,28
0,1,201,277.2832,2782832,46
3323,4,217,277.2336,2782336,34
2264,10,212,277.0235,2780235,20
3327,8,217,276.2692,2772692,26
1635,8,209,276.2192,2772192,24
3753,1,219,275.2507,2762507,64
3105,1,216,274.9504,2759504,72
606,4,204,273.5182,2745182,28
2468,3,213,272.8558,2738558,32
2897,7,215,272.5362,2735362,22
608,6,204,272.0228,2730228,26
2894,4,215,271.7469,2727469,30
1839,4,210,271.0523,2720523,30
3539,4,218,270.7964,2717964,34
3543,8,218,269.9966,2709966,26
2047,3,211,269.3265,2703265,30
2680,3,214,268.5448,2695448,32
203,4,202,268.4325,2694325,30
404,4,203,268.1838,2691838,28
1631,4,209,267.757,2687570,30
2475,10,213,267.6711,2686711,20
1637,10,209,267.6644,2686644,22
2469,4,213,267.5182,2685182,28
1013,4,206,267.1667,2681667,28
2891,1,215,266.6354,2676354,72
401,1,203,266.467,2674670,52
1222,8,207,266.3342,2673342,24
5,6,201,266.283,2672830,26
3760,8,219,265.354,2663540,24
2899,9,215,265.3285,2663285,22
200,1,202,265.3198,2663198,50
2262,8,212,265.0105,2660105,22
2686,9,214,264.9713,2659713,22
3759,7,219,264.691,2656910,24
2473,8,213,264.5662,2655662,22
2052,8,211,264.3564,2653564,24
1636,9,209,263.9103,2649103,22
2257,3,212,263.5966,2645966,30
809,4,205,263.2387,2642387,28
1844,9,210,263.1059,2641059,22
1838,3,210,261.9521,2629521,32
1630,3,209,261.9521,2629521,32
1,2,201,261.6373,2626373,36
2258,4,212,261.5581,2625581,28
201,2,202,261.3251,2623251,36
402,2,203,261.2774,2622774,38
3757,5,219,261.2575,2622575,28
2051,7,211,261.2546,2622546,24
2261,7,212,261.2546,2622546,24
3975,5,220,261.0545,2620545,30
605,3,204,261.0445,2620445,30
1216,2,207,260.981,2619810,40
205,6,202,260.9634,2619634,26
208,9,202,260.7198,2617198,20
603,1,204,260.7157,2617157,56
1842,7,210,260.6238,2616238,24
3324,5,217,260.4492,2614492,28
2684,7,214,259.9506,2609506,24
3540,5,218,259.6052,2606052,28
1843,8,210,259.2273,2602273,24
3971,1,220,258.894,2598940,66
814,9,205,257.8556,2588556,22
604,2,204,257.3717,2583717,36
2,3,201,257.0096,2580096,30
1012,3,206,256.9074,2579074,30
3108,4,216,256.5362,2575362,32
808,3,205,256.3251,2573251,30
2474,9,213,256.1477,2571477,22
1224,10,207,256.0524,2570524,20
1428,8,208,255.4724,2564724,24
3978,8,220,254.7658,2557658,24
2048,4,211,254.2574,2552574,32
3114,10,216,254.089,2550890,20
3329,10,217,254.0145,2550145,22
2900,10,215,253.4151,2544151,20
9,10,201,253.2379,2542379,20
3111,7,216,253.1437,2541437,24
209,10,202,253.0826,2540826,20
3977,7,220,252.32,2533200,24
403,3,203,251.6348,2526348,30
202,3,202,251.2544,2522544,30
1628,1,209,250.9619,2519619,60
2045,1,211,250.4514,2514514,68
807,2,205,250.3642,2513642,36
3113,9,216,248.9793,2499793,22
2687,10,214,248.9735,2499735,20
1019,10,206,248.2071,2492071,20
1430,10,208,248.172,2491720,20
1018,9,206,248.0224,2490224,22
815,10,205,248.0033,2490033,20
1223,9,207,247.8476,2488476,22
8,9,201,247.6646,2486646,22
1423,3,208,246.3134,2473134,32
410,10,203,245.568,2465680,20
612,10,204,245.568,2465680,20
1421,1,208,245.2244,2462244,56
1422,2,208,244.8339,2458339,38
1011,2,206,244.8268,2458268,38
1217,3,207,244.5898,2455898,32
2678,1,214,244.4399,2454399,72
3979,9,220,243.6732,2446732,24
3328,9,217,243.4865,2444865,24
2255,1,212,242.855,2438550,70
2472,7,213,242.435,2434350,24
3545,10,218,241.9872,2429872,22
806,1,205,240.0712,2410712,58
3756,4,219,239.392,2403920,34
3761,9,219,238.7836,2397836,26
3762,10,219,238.3948,2393948,20
3544,9,218,236.8975,2378975,22
10,11,201,236.1297,2371297,20
1429,9,208,235.1406,2361406,22
611,9,204,234.7223,2357223,20
2893,3,215,234.6235,2356235,34
409,9,203,234.4681,2354681,20
2466,1,213,232.6717,2336717,70
3980,10,220,232.2014,2332014,20
1837,2,210,227.0022,2280022,40
1629,2,209,226.228,2272280,38
1215,1,207,224.0321,2250321,58
1010,1,206,223.8652,2248652,58
2467,2,213,222.6002,2236002,40
3974,4,220,222.0876,2230876,34
3763,11,219,221.8161,2228161,20
1640,13,209,221.2725,2222725,20
2688,11,214,218.6,2196000,20
3330,11,217,217.6669,2186669,22
2046,2,211,214.8933,2158933,44
210,11,202,214.6582,2156582,20
411,11,203,214.6349,2156349,20
3115,11,216,214.4239,2154239,20
816,11,205,214.3562,2153562,20
613,11,204,214.3006,2153006,20
1020,11,206,214.1362,2151362,20
1225,11,207,214.1362,2151362,20
