,fast_ma,slow_ma,profit,end_capital,number_of_trades
486,1,125,620.5975,6215975,52
0,1,121,613.7949,6147949,66
610,1,126,609.6421,6106421,50
2451,1,140,607.8332,6088332,42
363,1,124,569.9033,5709033,52
120,1,122,569.8947,5708947,60
2313,1,139,566.8576,5678576,44
121,2,122,556.0424,5570424,44
242,2,123,555.9537,5569537,38
2176,1,138,555.0823,5560823,44
1,2,121,544.5994,5455994,50
241,1,123,517.8528,5188528,62
1771,1,135,512.4374,5134374,54
1376,2,132,507.5439,5085439,34
735,1,127,500.7066,5017066,56
2040,1,137,500.3507,5013507,54
1246,2,131,495.0933,4960933,34
861,1,128,487.4212,4884212,54
1638,1,134,480.0204,4810204,50
1905,1,136,475.921,4769210,56
611,2,126,473.96,4749600,40
1507,2,133,473.4882,4744882,40
1117,2,130,468.4372,4694372,36
862,2,128,466.1886,4671886,38
2177,2,138,464.5492,4655492,34
2314,2,139,457.6204,4586204,34
1506,1,133,455.9551,4569551,52
736,2,127,454.6022,4556022,38
2041,2,137,452.7277,4537277,40
1375,1,132,448.5144,4495144,54
1639,2,134,448.397,4493970,40
1772,2,135,448.0947,4490947,42
364,2,124,445.8161,4468161,40
988,1,129,443.8157,4448157,50
1116,1,130,443.8157,4448157,50
989,2,129,443.1767,4441767,38
1245,1,131,431.4186,4324186,52
865,5,128,428.1158,4291158,30
2452,2,140,427.7364,4287364,32
365,3,124,423.7793,4247793,36
1906,2,136,422.0648,4230648,42
487,2,125,421.877,4228770,40
243,3,123,409.5035,4105035,36
122,3,122,409.405,4104050,40
2566,116,140,389.998,3909980,32
2429,117,139,386.8411,3878411,32
992,5,129,385.8771,3868771,32
1120,5,130,378.7871,3797871,32
2567,117,140,371.1455,3721455,32
244,4,123,370.2564,3712564,32
2453,3,140,369.4114,3704114,32
2,3,121,368.9253,3699253,44
2315,3,139,367.1129,3681129,32
123,4,122,364.4543,3654543,34
2428,116,139,361.5112,3625112,34
2178,3,138,360.3302,3613302,32
2292,117,138,357.0958,3580958,34
473,111,124,354.9231,3559231,40
2454,4,140,353.0148,3540148,30
2042,3,137,349.0335,3500335,32
991,4,129,347.3318,3483318,34
1738,101,134,344.3434,3453434,28
1640,3,134,340.6346,3416346,36
2564,114,140,340.3121,3413121,32
864,4,128,340.1142,3411142,34
1379,5,132,335.4788,3364788,34
3,4,121,333.1176,3341176,38
472,110,124,332.751,3337510,40
1249,5,131,328.2385,3292385,34
1907,3,136,326.4565,3274565,38
2558,108,140,324.349,3253490,30
2316,4,139,322.4646,3234646,30
369,7,124,322.0269,3230269,28
738,4,127,322.0019,3230019,34
613,4,126,321.9783,3229783,34
489,4,125,321.8726,3228726,34
990,3,129,321.1043,3221043,34
366,4,124,321.0855,3220855,34
2179,4,138,320.54,3215400,30
2317,5,139,320.1863,3211863,28
1752,115,134,317.6438,3186438,34
1508,3,133,316.1264,3171264,36
246,6,123,315.8617,3168617,30
1118,3,130,315.838,3168380,34
2044,5,137,315.5565,3165565,34
248,8,123,315.0662,3160662,30
1119,4,130,314.7664,3157664,34
2021,117,136,311.7458,3127458,34
2563,113,140,311.2887,3122887,32
2562,112,140,310.1675,3111675,34
2455,5,140,309.8216,3108216,30
2180,5,138,309.757,3107570,30
2430,118,139,309.0844,3100844,32
368,6,124,308.7079,3097079,28
1773,3,135,308.6284,3096284,38
247,7,123,308.4612,3094612,30
737,3,127,308.3801,3093801,36
1870,100,135,308.2145,3092145,28
4,5,121,308.1872,3091872,34
125,6,122,308.1866,3091866,30
1247,3,131,306.8906,3078906,34
595,110,125,305.0481,3060481,38
1490,116,132,304.9976,3059976,34
2293,118,138,304.0651,3050651,34
1476,102,132,303.3681,3043681,30
349,109,123,303.302,3043020,40
863,3,128,303.1354,3041354,36
2043,4,137,301.9866,3029866,32
1377,3,132,301.7898,3027898,34
593,108,125,301.6101,3026101,34
228,109,122,301.4025,3024025,40
2426,114,139,297.5344,2985344,32
2421,109,139,297.2388,2982388,30
866,6,128,297.216,2982160,28
1378,4,132,296.934,2979340,34
127,8,122,296.7988,2977988,32
1477,103,132,296.2486,2972486,32
1509,4,133,296.098,2970980,34
1908,4,136,295.7777,2967777,36
1871,101,135,295.7223,2967223,28
612,3,126,295.5077,2965077,38
488,3,125,295.4112,2964112,38
491,6,125,295.4015,2964015,28
2420,108,139,294.9668,2959668,30
2427,115,139,294.7781,2957781,32
2291,116,138,294.2879,2952879,32
2282,107,138,294.2621,2952621,30
2411,99,139,294.0486,2950486,26
2565,115,140,293.7784,2947784,32
1347,103,131,293.6507,2946507,32
1888,118,135,292.1831,2931831,34
2004,100,136,292.1537,2931537,30
718,109,126,292.0182,2930182,34
1348,104,131,291.9419,2929419,32
1510,5,133,289.2587,2902587,34
1607,102,133,289.1776,2901776,30
741,7,127,289.1392,2901392,28
716,107,126,286.9773,2879773,34
492,7,125,285.6863,2866863,28
616,7,126,285.4214,2864214,28
717,108,126,284.5083,2855083,34
2138,99,137,283.965,2849650,28
471,109,124,283.8414,2848414,40
615,6,126,283.4598,2844598,28
867,7,128,283.0431,2840431,28
2283,108,138,283.0176,2840176,30
1774,4,135,282.6625,2836625,36
348,108,123,282.6172,2836172,42
1641,4,134,282.4825,2834825,36
126,7,122,282.4711,2834711,32
2023,119,136,282.2922,2832922,34
719,110,126,282.0502,2830502,38
7,8,121,282.0049,2830049,32
1620,115,133,281.9984,2829984,34
994,7,129,281.7572,2827572,28
2568,118,140,281.668,2826680,32
351,111,123,280.6002,2816002,42
1479,105,132,279.8027,2808027,32
2144,105,137,279.6331,2806331,28
2156,117,137,279.6028,2806028,34
1248,4,131,278.8803,2798803,34
2158,119,137,278.6001,2796001,34
740,6,127,278.4743,2794743,28
1220,105,130,278.3769,2793769,32
739,5,127,277.1668,2781668,30
614,5,126,277.1661,2781661,30
370,8,124,277.0332,2780332,28
617,8,126,276.6514,2776514,28
1642,5,134,275.9103,2769103,34
474,112,124,275.8195,2768195,40
229,110,122,275.1254,2761254,40
840,106,127,272.5388,2735388,34
2157,118,137,272.4574,2734574,34
1755,118,134,272.4217,2734217,34
596,111,125,272.2605,2732605,40
232,113,122,272.1463,2731463,40
2274,99,138,271.6386,2726386,26
1609,104,133,271.5255,2725255,32
2022,118,136,270.9279,2719279,34
2279,104,138,270.5148,2715148,30
