,fast_ma,slow_ma,profit,end_capital,number_of_trades
220,1,222,306.284,3072840,70
445,5,223,304.3077,3053077,30
446,6,223,278.4759,2794759,26
224,5,222,278.4676,2794676,28
5,6,221,270.7479,2717479,24
225,6,222,264.4411,2654411,26
4,5,221,261.6988,2626988,28
668,6,224,260.7941,2617941,26
7,8,221,254.7658,2557658,24
441,1,223,253.1275,2541275,64
0,1,221,252.2141,2532141,68
667,5,224,248.459,2494590,32
226,7,222,248.0506,2490506,26
663,1,224,247.6869,2486869,66
444,4,223,246.8369,2478369,36
8,9,221,242.8021,2438021,24
228,9,222,242.7892,2437892,24
447,7,223,242.2423,2432423,24
223,4,222,241.1819,2421819,36
9,10,221,238.5384,2395384,20
3,4,221,238.4214,2394214,34
886,1,225,236.9491,2379491,62
227,8,222,232.9448,2339448,24
229,10,222,232.4215,2334215,22
449,9,223,230.2428,2312428,22
6,7,221,230.0844,2310844,26
666,4,224,228.8932,2298932,34
1335,1,227,225.5494,2265494,64
671,9,224,225.4786,2264786,22
1110,1,226,221.6279,2226279,62
448,8,223,221.2135,2222135,24
670,8,224,219.6953,2206953,24
1788,1,229,204.3708,2053708,66
1561,1,228,203.8085,2048085,68
2016,1,230,203.3332,2043332,64
222,3,222,199.4238,2004238,38
443,3,223,197.2825,1982825,40
887,2,225,197.2758,1982758,46
665,3,224,197.1885,1981885,38
442,2,223,196.9673,1979673,46
2,3,221,193.1497,1941497,40
664,2,224,191.6234,1926234,46
888,3,225,190.4226,1914226,36
1112,3,226,189.2825,1902825,38
2245,1,231,180.1899,1811899,66
221,2,222,180.0155,1810155,48
1111,2,226,179.3703,1803703,50
1789,2,229,178.5865,1795865,46
1,2,221,175.9762,1769762,48
2706,1,233,175.1961,1761961,66
1562,2,228,174.998,1759980,46
1336,2,227,173.1919,1741919,46
2475,1,232,169.363,1703630,66
2017,2,230,162.9601,1639601,48
2246,2,231,161.1407,1621407,50
3405,1,236,157.7868,1587868,76
2938,1,234,152.0729,1530729,74
3171,1,235,151.958,1529580,74
2352,108,231,145.2948,1462948,12
3273,103,235,140.7326,1417326,10
2124,109,230,138.8805,1398805,12
4582,232,240,133.2569,1342569,26
2123,108,230,131.751,1327510,12
3096,159,234,131.4848,1324848,14
3506,102,236,130.7792,1317792,10
3505,101,236,130.0242,1310242,10
4585,235,240,128.6717,1296717,34
2119,104,230,128.2074,1292074,10
4031,156,238,128.006,1290060,10
