,fast_ma,slow_ma,profit,end_capital,number_of_trades
658,1,39,569.2292,5702292,210
585,1,37,416.6382,4176382,222
665,8,39,412.4157,4134157,98
550,1,36,400.6588,4016588,242
558,9,36,394.2934,3952934,96
516,1,35,393.9052,3949052,256
703,8,40,373.6027,3746027,90
702,7,40,372.3287,3733287,98
557,8,36,356.7307,3577307,98
659,2,39,350.9553,3519553,170
664,7,39,349.3895,3503895,104
628,8,38,343.5279,3445279,96
629,9,38,335.5749,3365749,92
562,13,36,333.0655,3340655,94
696,1,40,332.8858,3338858,206
356,24,29,324.6295,3256295,162
586,2,37,323.5165,3245165,178
459,9,33,323.3557,3243557,116
621,1,38,322.8225,3238225,206
517,2,35,312.819,3138190,190
596,12,37,311.5487,3125487,94
622,2,38,308.3077,3093077,166
704,9,40,308.0691,3090691,86
630,10,38,307.4398,3084398,92
463,13,33,301.5052,3025052,106
528,13,35,298.8881,2998881,100
524,9,35,298.7882,2997882,108
666,9,39,296.4861,2974861,92
593,9,37,295.6965,2966965,92
706,11,40,295.6815,2966815,88
523,8,35,294.003,2950030,106
697,2,40,292.5424,2935424,166
592,8,37,292.3518,2933518,96
559,10,36,289.4673,2904673,96
667,10,39,284.9592,2859592,90
551,2,36,284.3058,2853058,186
595,11,37,283.4538,2844538,94
625,5,38,283.1885,2841885,118
627,7,38,279.459,2804590,102
669,12,39,278.5466,2795466,90
384,24,30,278.1613,2791613,148
483,1,34,276.8655,2778655,248
632,12,38,276.3373,2773373,92
464,14,33,274.2122,2752122,102
484,2,34,272.9832,2739832,190
494,12,34,271.3273,2723273,104
589,5,37,270.6726,2716726,130
486,4,34,268.3713,2693713,154
668,11,39,265.1886,2661886,90
705,10,40,264.3559,2653559,88
597,13,37,261.8978,2628978,92
700,5,40,254.3956,2553956,110
331,26,28,254.2496,2552496,256
416,27,31,250.8079,2518079,180
364,4,30,246.1585,2471585,160
527,12,35,246.0222,2470222,104
520,5,35,245.7882,2467882,132
594,10,37,242.4189,2434189,96
587,3,37,241.926,2429260,158
624,4,38,241.9057,2429057,136
491,9,34,241.1666,2421666,110
561,12,36,238.2841,2392841,94
548,33,35,236.6356,2376356,210
588,4,37,236.4798,2374798,138
393,4,31,235.4137,2364137,156
337,5,29,235.0649,2360649,152
591,7,37,234.4047,2354047,104
490,8,34,234.1995,2351995,112
453,3,33,233.4899,2344899,170
631,11,38,232.7157,2337157,92
136,11,20,227.6118,2286118,188
554,5,36,227.2704,2282704,128
495,13,34,227.0324,2280324,102
661,4,39,226.1282,2271282,136
633,13,38,225.8126,2268126,92
547,32,35,223.7091,2247091,176
660,3,39,222.7748,2237748,150
432,13,32,222.1223,2231223,112
427,8,32,221.6159,2226159,118
556,7,36,221.4981,2224981,108
462,12,33,220.8237,2218237,114
412,23,31,220.596,2215960,136
525,10,35,219.5752,2205752,104
397,8,31,219.274,2202740,124
546,31,35,219.0418,2200418,162
306,1,28,217.9851,2189851,298
422,3,32,217.503,2185030,174
365,5,30,215.5217,2165217,146
699,4,40,215.398,2163980,128
385,25,30,215.0265,2160265,158
708,13,40,214.8154,2158154,84
662,5,39,214.7994,2157994,116
451,1,33,213.8961,2148961,250
303,24,27,212.6316,2136316,228
134,9,20,211.7483,2127483,182
518,3,35,210.2733,2112733,164
386,26,30,210.1169,2111169,172
452,2,33,209.9116,2109116,194
526,11,35,205.6059,2066059,102
485,3,34,204.8787,2058787,166
433,14,32,204.7021,2057021,112
492,10,34,204.1623,2051623,104
280,1,27,203.9288,2049288,292
423,4,32,202.4076,2034076,158
598,14,37,202.2362,2032362,88
560,11,36,202.233,2032330,94
414,25,31,201.1853,2021853,146
670,13,39,200.9479,2019479,90
282,3,27,200.885,2018850,196
707,12,40,200.8416,2018416,84
333,1,29,199.1673,2001673,280
623,3,38,199.0925,2000925,154
454,4,33,197.1945,1981945,154
428,9,32,196.9499,1979499,116
671,14,39,196.5335,1975335,84
154,10,21,196.5164,1975164,172
644,24,38,196.2898,1972898,96
701,6,40,195.9131,1969131,102
357,25,29,195.7195,1967195,180
648,28,38,195.6709,1966709,100
564,15,36,194.921,1959210,92
698,3,40,194.7764,1957764,144
420,1,32,194.3774,1953774,258
281,2,27,194.3454,1953454,210
368,8,30,193.3731,1943731,126
329,24,28,192.2532,1932532,182
153,9,21,191.5371,1925371,166
415,26,31,191.2212,1922212,156
444,25,32,190.9267,1919267,142
135,10,20,187.7892,1887892,186
684,27,39,187.5182,1885182,100
366,6,30,187.4988,1884988,142
286,7,27,187.2281,1882281,154
544,29,35,186.6334,1876334,142
383,23,30,186.3702,1873702,140
330,25,28,185.1237,1861237,212
493,11,34,182.8813,1838813,108
390,1,31,182.4652,1834652,270
417,28,31,181.3247,1823247,194
580,31,36,181.2479,1822479,150
355,23,29,181.0615,1820615,152
515,33,34,180.8788,1818788,296
275,21,26,179.1534,1801534,180
466,16,33,178.335,1793350,104
613,29,37,177.9835,1789835,116
373,13,30,177.9128,1789128,122
552,3,36,177.6562,1786562,166
600,16,37,177.3201,1783201,90
312,7,28,177.19,1781900,150
342,10,29,177.075,1780750,132
255,1,26,176.9794,1779794,302
519,4,35,176.5547,1775547,142
436,17,32,174.6447,1756447,112
402,13,31,174.4667,1754667,118
361,1,30,173.7312,1747312,276
610,26,37,173.5748,1745748,110
315,10,28,173.5466,1745466,130
608,24,37,173.5095,1745095,98
340,8,29,173.227,1742270,144
193,8,23,172.3927,1733927,156
461,11,33,172.1526,1731526,114
387,27,30,171.5875,1725875,196
