,fast_ma,slow_ma,profit,end_capital,number_of_trades
1470,3,189,395.1763,3961763,34
1097,3,187,378.6122,3796122,36
1658,3,190,378.1815,3791815,34
1283,3,188,377.8278,3788278,32
912,3,186,367.4777,3684777,34
544,2,184,340.9018,3419018,40
2420,3,194,336.5298,3375298,36
1,2,181,332.9126,3339126,44
181,2,182,332.9102,3339102,44
728,3,185,327.152,3281520,32
1282,2,188,327.1251,3281251,38
1847,3,191,326.7283,3277283,36
2613,3,195,326.6352,3276352,34
362,2,183,322.8061,3238061,44
2037,3,192,320.9133,3219133,34
2228,3,193,320.7981,3217981,36
2,3,181,316.4992,3174992,32
3203,8,198,311.9748,3129748,24
3400,8,199,307.0171,3080171,26
3598,8,200,307.0096,3080096,26
3006,7,197,306.989,3079890,28
727,2,185,305.9232,3069232,40
182,3,182,305.3396,3063396,32
363,3,183,305.0929,3060929,34
3202,7,198,300.9785,3019785,28
3197,2,198,299.8931,3008931,36
2806,2,196,299.7939,3007939,36
3001,2,197,299.7939,3007939,36
1846,2,191,299.7552,3007552,42
2419,2,194,299.7025,3007025,36
2612,2,195,299.6505,3006505,36
1657,2,190,299.4916,3004916,42
3394,2,199,297.2476,2982476,34
545,3,184,295.4897,2964897,30
3595,5,200,293.5394,2945394,30
2611,1,195,293.2156,2942156,50
2418,1,194,293.2156,2942156,50
729,4,185,292.6849,2936849,30
1284,4,188,290.4951,2914951,30
1098,4,187,290.4951,2914951,30
1656,1,190,290.1315,2911315,52
913,4,186,290.1245,2911245,30
1471,4,189,290.1206,2911206,30
1286,6,188,289.7613,2907613,26
1096,2,187,289.7162,2907162,38
1468,1,189,289.4122,2904122,54
1469,2,189,289.1505,2901505,42
2811,7,196,288.5159,2895159,26
2805,1,196,287.5992,2885992,48
3,4,181,286.3639,2873639,28
2229,4,193,285.9929,2869929,30
3396,4,199,285.7981,2867981,30
3594,4,200,285.6395,2866395,30
1845,1,191,283.6976,2846976,50
3002,3,197,280.9868,2819868,32
2807,3,196,280.9194,2819194,32
1099,5,187,279.6798,2806798,28
3597,7,200,279.1027,2801027,28
3399,7,199,279.1027,2801027,28
3200,5,198,278.808,2798080,28
2230,5,193,278.0083,2790083,32
2227,2,193,277.8117,2788117,36
2035,1,192,277.8011,2788011,52
2421,4,194,274.7864,2757864,30
3004,5,197,274.693,2756930,28
1659,4,190,274.2064,2752064,30
3198,3,198,273.6078,2746078,32
1848,4,191,273.418,2744180,30
184,5,182,272.8629,2738629,24
3397,5,199,272.5336,2735336,28
911,2,186,271.3144,2723144,38
