,fast_ma,slow_ma,profit,end_capital,number_of_trades
1499,4,98,452.2322,4532322,58
1695,5,100,430.1861,4311861,52
1693,3,100,423.1929,4241929,66
1597,5,99,420.3046,4213046,52
1403,4,97,416.6727,4176727,58
1596,4,99,411.4913,4124913,58
1500,5,98,410.7123,4117123,54
1215,5,95,408.8425,4098425,56
1694,4,100,393.7654,3947654,58
1595,3,99,389.803,3908030,66
1404,5,97,386.3597,3873597,58
1498,3,98,375.4777,3764777,72
1122,5,94,372.625,3736250,56
1308,4,96,365.9258,3669258,62
940,6,92,360.416,3614160,54
1031,6,93,353.8292,3548292,52
1309,5,96,353.2691,3542691,54
1214,4,95,352.7246,3537246,66
1030,5,93,338.3859,3393859,58
1307,3,96,332.6046,3336046,76
1692,2,100,319.3473,3203473,80
850,6,91,318.8411,3198411,64
585,5,88,306.6881,3076881,72
1213,3,95,297.1665,2981665,80
939,5,92,296.905,2979050,68
499,5,87,291.2564,2922564,66
673,6,89,290.339,2913390,64
255,13,84,288.8588,2898588,48
849,5,91,284.531,2855310,76
419,10,86,284.1658,2851658,54
1402,3,97,283.2403,2842403,76
1121,4,94,280.8654,2818654,70
761,6,90,275.334,2763340,64
1029,4,93,275.2396,2762396,74
1702,12,100,273.543,2745430,38
174,14,83,273.4955,2744955,54
256,14,84,270.1688,2711688,48
338,13,85,268.9146,2699146,50
1697,7,100,268.2625,2692625,50
11,12,81,266.9097,2679097,54
90,11,82,266.0168,2670168,54
1594,2,99,265.7336,2667336,84
1120,3,94,265.0502,2660502,78
91,12,82,264.8692,2658692,52
254,12,84,263.8897,2648897,48
762,7,90,261.9013,2629013,58
171,11,83,261.77,2627700,54
1703,13,100,260.6701,2616701,38
12,13,81,260.6585,2616585,52
173,13,83,260.5558,2615558,50
172,12,83,259.18,2601800,50
848,4,91,258.8091,2598091,80
760,5,90,256.9184,2579184,76
10,11,81,256.5485,2575485,56
501,7,87,256.0756,2570756,64
417,8,86,256.0202,2570202,58
1028,3,93,252.8492,2538492,82
672,5,89,251.4789,2524789,76
1608,16,99,251.0831,2520831,36
1706,16,100,250.6987,2516987,36
92,13,82,249.8053,2508053,52
333,8,85,248.2778,2492778,60
586,6,88,247.7527,2487527,64
421,12,86,246.8632,2478632,50
337,12,85,246.6548,2476548,50
93,14,82,246.0779,2470779,48
339,14,85,246.0033,2470033,48
759,4,90,245.934,2469340,84
89,10,82,245.3316,2463316,56
1696,6,100,242.5469,2435469,48
1401,2,97,240.5533,2415533,84
1602,10,99,239.6772,2406772,42
1698,8,100,238.4169,2394169,50
674,7,89,237.9639,2389639,58
1699,9,100,237.5641,2385641,46
1603,11,99,237.1157,2381157,44
1700,10,100,235.069,2360690,42
1212,2,95,234.5665,2355665,94
938,4,92,234.0943,2350943,78
1511,16,98,233.7251,2347251,36
