,fast_ma,slow_ma,profit,end_capital,number_of_trades
163,11,19,0.3196000000000001,13196,22
104,14,15,0.31689999999999996,13169,22
117,13,16,0.31689999999999996,13169,22
164,12,19,0.3107,13107,20
148,13,18,0.3107,13107,20
119,15,16,0.3067,13067,20
133,14,17,0.3067,13067,20
149,14,18,0.30580000000000007,13058,20
180,10,20,0.30079999999999996,13008,22
134,15,17,0.3005,13005,20
147,12,18,0.2957000000000001,12957,22
183,13,20,0.2956000000000001,12956,20
182,12,20,0.29499999999999993,12950,20
74,9,13,0.2944,12944,40
118,14,16,0.2929999999999999,12930,22
132,13,17,0.2929999999999999,12930,22
181,11,20,0.29259999999999997,12926,22
165,13,19,0.2925,12925,20
150,15,18,0.2825,12825,20
166,14,19,0.2825,12825,20
135,16,17,0.28,12800,20
84,7,14,0.27849999999999997,12785,42
96,6,15,0.27570000000000006,12757,44
54,10,11,0.2754000000000001,12754,42
63,9,12,0.2754000000000001,12754,42
99,9,15,0.2694000000000001,12694,30
73,8,13,0.268,12680,42
167,15,19,0.2653000000000001,12653,20
151,16,18,0.2653000000000001,12653,20
184,14,20,0.26439999999999997,12644,20
76,11,13,0.2609999999999999,12610,30
87,10,14,0.2609999999999999,12610,30
113,9,16,0.2588999999999999,12589,30
75,10,13,0.2562,12562,32
65,11,12,0.2562,12562,32
179,9,20,0.2539,12539,24
185,15,20,0.2533000000000001,12533,20
152,17,18,0.2533000000000001,12533,20
168,16,19,0.2533000000000001,12533,20
112,8,16,0.2519,12519,32
130,11,17,0.2513000000000001,12513,24
145,10,18,0.2512000000000001,12512,24
115,11,16,0.2487999999999999,12488,24
102,12,15,0.2487999999999999,12488,24
90,13,14,0.2487999999999999,12488,24
142,7,18,0.24760000000000004,12476,32
159,7,19,0.24760000000000004,12476,32
162,10,19,0.2447999999999999,12448,24
127,8,17,0.24350000000000005,12435,32
116,12,16,0.24239999999999995,12424,24
146,11,18,0.24239999999999995,12424,24
123,4,17,0.24069999999999991,12407,46
62,8,12,0.24029999999999996,12403,46
131,12,17,0.24029999999999996,12403,24
88,11,14,0.23940000000000006,12394,26
161,9,19,0.23920000000000008,12392,24
103,13,15,0.23459999999999992,12346,24
77,12,13,0.23419999999999996,12342,26
53,9,11,0.23340000000000005,12334,46
176,6,20,0.22799999999999998,12280,32
86,9,14,0.22629999999999995,12263,34
177,7,20,0.22429999999999994,12243,32
129,10,17,0.2228000000000001,12228,26
72,7,13,0.2217,12217,46
101,11,15,0.22039999999999993,12204,26
89,12,14,0.22039999999999993,12204,26
114,10,16,0.21389999999999998,12139,26
140,5,18,0.21100000000000008,12110,32
109,5,16,0.20900000000000007,12090,46
98,8,15,0.2085999999999999,12086,34
126,7,17,0.20690000000000008,12069,32
158,6,19,0.2048000000000001,12048,32
125,6,17,0.19419999999999993,11942,32
64,10,12,0.19100000000000006,11910,36
186,16,20,0.18979999999999997,11898,20
143,8,18,0.1866000000000001,11866,30
169,17,19,0.1863999999999999,11864,20
157,5,19,0.1862999999999999,11863,34
141,6,18,0.18579999999999997,11858,32
100,10,15,0.1845000000000001,11845,28
175,5,20,0.18409999999999993,11841,32
189,19,20,0.18199999999999994,11820,20
188,18,20,0.17480000000000007,11748,20
111,7,16,0.1733,11733,34
144,9,18,0.1681999999999999,11682,28
178,8,20,0.1681999999999999,11682,28
128,9,17,0.16569999999999996,11657,28
138,3,18,0.16549999999999998,11655,48
97,7,15,0.16379999999999995,11638,38
85,8,14,0.16369999999999996,11637,38
187,17,20,0.16110000000000002,11611,20
110,6,16,0.16080000000000005,11608,38
160,8,19,0.16080000000000005,11608,28
170,18,19,0.15680000000000005,11568,20
108,4,16,0.14450000000000007,11445,50
95,5,15,0.1432,11432,50
173,3,20,0.13929999999999998,11393,44
139,4,18,0.1379999999999999,11380,42
156,4,19,0.13640000000000008,11364,36
137,2,18,0.13090000000000002,11309,64
68,3,13,0.13030000000000008,11303,72
174,4,20,0.1259999999999999,11260,36
83,6,14,0.12280000000000002,11228,48
42,7,10,0.12220000000000009,11222,54
153,1,19,0.1169,11169,70
60,6,12,0.10729999999999995,11073,52
171,1,20,0.10339999999999994,11034,68
35,8,9,0.09719999999999995,10972,54
124,5,17,0.09420000000000006,10942,44
57,3,12,0.09400000000000008,10940,78
154,2,19,0.09329999999999994,10933,58
136,1,18,0.08919999999999995,10892,72
44,9,10,0.08769999999999989,10877,48
61,7,12,0.08329999999999993,10833,50
52,8,11,0.0815999999999999,10816,48
71,6,13,0.07590000000000008,10759,52
50,6,11,0.07539999999999991,10754,56
70,5,13,0.07220000000000004,10722,56
121,2,17,0.07040000000000002,10704,72
81,4,14,0.06990000000000007,10699,58
82,5,14,0.06990000000000007,10699,54
94,4,15,0.06990000000000007,10699,56
120,1,17,0.06549999999999989,10655,74
155,3,19,0.060799999999999965,10608,46
69,4,13,0.05889999999999995,10589,58
59,5,12,0.057600000000000096,10576,58
41,6,10,0.052200000000000024,10522,60
106,2,16,0.0475000000000001,10475,72
34,7,9,0.045500000000000096,10455,60
51,7,11,0.03960000000000008,10396,52
43,8,10,0.03849999999999998,10385,52
48,4,11,0.033500000000000085,10335,68
105,1,16,0.032399999999999984,10324,78
92,2,15,0.03079999999999994,10308,78
49,5,11,0.02719999999999989,10272,60
80,3,14,0.02400000000000002,10240,62
93,3,15,0.02089999999999992,10209,62
58,4,12,0.01869999999999994,10187,64
47,3,11,0.018299999999999983,10183,82
23,3,8,0.012199999999999989,10122,90
79,2,14,0.01200000000000001,10120,82
39,4,10,0.010299999999999976,10103,78
27,7,8,0.009200000000000097,10092,62
122,3,17,0.0031000000000001027,10031,56
91,1,15,-0.0019000000000000128,9981,84
78,1,14,-0.0033999999999999586,9966,86
40,5,10,-0.007600000000000051,9924,66
67,2,13,-0.009399999999999964,9906,84
33,6,9,-0.010199999999999987,9898,64
30,3,9,-0.011099999999999999,9889,90
26,6,8,-0.013800000000000034,9862,68
14,5,6,-0.018100000000000005,9819,88
13,4,6,-0.018299999999999983,9817,94
38,3,10,-0.01880000000000004,9812,88
17,3,7,-0.019100000000000006,9809,98
29,2,9,-0.024499999999999966,9755,98
46,2,11,-0.029100000000000015,9709,94
25,5,8,-0.02949999999999997,9705,80
12,3,6,-0.03049999999999997,9695,100
107,3,16,-0.03190000000000004,9681,60
20,6,7,-0.03249999999999997,9675,80
31,4,9,-0.03300000000000003,9670,86
18,4,7,-0.036800000000000055,9632,88
32,5,9,-0.037900000000000045,9621,70
56,2,12,-0.04200000000000004,9580,90
9,4,5,-0.0474,9526,98
28,1,9,-0.05030000000000001,9497,110
5,3,4,-0.05940000000000001,9406,126
37,2,10,-0.062000000000000055,9380,98
8,3,5,-0.06240000000000001,9376,116
66,1,13,-0.06630000000000003,9337,94
24,4,8,-0.06659999999999999,9334,90
19,5,7,-0.06789999999999996,9321,88
55,1,12,-0.07189999999999996,9281,96
172,2,20,-0.07279999999999998,9272,56
