Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4342817226752,162047260,0.37,1.99,3.46,-2.48,-2.38,-5.22,-7.79,11.69,34.51,563.44,507.82,1932.58
2,AAPL,Apple Inc.,3712989790208,27690948,0.07,0.39,1.87,-0.08,-3.77,-7.7,-7.54,20.66,12.63,56.5,74.53,222.47
3,GOOGL,Alphabet Inc.,3519380193280,29331608,0.08,0.17,-3.35,-4.79,-3.96,-8.61,1.61,67.23,78.01,182.84,101.06,306.76
3,GOOG,Alphabet Inc.,3503170256896,21787018,0.06,0.13,-3.08,-4.87,-4.5,-9.05,0.89,65.7,75.77,179.53,99.12,305.73
4,MSFT,Microsoft Corporation,2757709529088,30437226,0.11,-0.46,-2.84,-7.23,-8.43,-10.01,-27.11,-24.85,-9.48,28.59,16.4,110.65
5,AMZN,"Amazon.com, Inc.",2272690176000,35103651,0.15,2.16,3.09,-0.01,-2.36,2.3,-13.3,-3.49,15.87,101.67,21.6,71.26
6,AVGO,Broadcom Inc.,1511565426688,19852634,0.13,0.16,2.89,-1.67,0.61,-6.16,-9.89,17.97,78.85,438.4,532.5,1125.08
7,META,"Meta Platforms, Inc.",1504807223296,12161179,0.08,0.33,0.21,-5.19,-10.83,-11.23,-2.16,-17.26,0.82,186.32,82.99,157.63
8,TSLA,"Tesla, Inc.",1448251097088,54787532,0.38,0.76,4.89,-2.43,-4.92,-9.23,-10.37,29.6,57.85,151.02,8.42,556.71
9,WMT,Walmart Inc.,981083881472,16591251,0.17,0.83,3.39,-2.13,-3.52,-2.67,19.45,27.56,56.53,153.23,163.62,221.96
10,LLY,Eli Lilly and Company,820114620416,1603428,0.02,1.47,1.06,-7.36,-8.69,-10.45,-9.69,18.46,1.37,148.99,261.17,534.92
11,JPM,JP Morgan Chase & Co.,796757393408,12163728,0.15,1.03,3.09,3.24,-1.33,-7.18,-7.38,5.45,43.79,132.72,96.64,248.06
12,XOM,Exxon Mobil Corporation,680265777152,16899073,0.25,-1.28,2.25,3.84,8.97,8.42,40.35,46.54,40.76,56.62,195.12,343.88
13,V,Visa Inc.,587878563840,4704518,0.08,0.38,1.09,-1.68,-4.86,-7.09,-9.84,-13.5,12.12,36.71,46.08,61.83
14,JNJ,Johnson & Johnson,578207023104,6454367,0.11,1.98,1.94,-1.34,-2.19,1.2,24.87,56.95,56.92,61.33,66.17,90.09
15,MA,Mastercard Incorporated,448682000384,1884031,0.04,0.77,1.3,-1.13,-3.86,-6.96,-10.28,-10.24,2.02,39.28,44.0,71.04
16,COST,Costco Wholesale Corporation,432710516736,955322,0.02,0.11,0.26,-2.68,-3.17,0.37,6.8,-0.7,10.35,105.26,102.55,246.17
17,MU,"Micron Technology, Inc.",430895890432,54422637,1.26,-3.4,-9.65,-13.52,-4.66,2.37,56.08,207.41,274.33,534.0,432.71,736.41
18,ORCL,Oracle Corporation,419960258560,20578601,0.49,-0.73,-2.45,-6.38,-4.17,-8.67,-35.5,-37.33,-15.01,60.86,64.75,197.04
19,CVX,Chevron Corporation,410167377920,7807355,0.19,-0.79,1.7,4.22,10.28,13.66,36.62,38.22,47.21,40.33,115.73,178.51
20,NFLX,"Netflix, Inc.",391441547264,29491408,0.75,1.5,0.5,-3.07,-6.47,12.25,-20.28,-27.64,27.85,187.34,42.65,115.96
21,PLTR,Palantir Technologies Inc.,370614075392,37993457,1.03,0.12,2.84,1.47,1.16,11.07,-15.86,10.92,273.85,1902.07,588.1,
22,ABBV,AbbVie Inc.,366329233408,3954057,0.11,0.96,1.03,-6.44,-12.28,-6.86,-10.45,11.8,12.88,41.41,107.44,186.02
23,AMD,"Advanced Micro Devices, Inc.",359130595328,47234598,1.32,7.26,9.41,12.05,9.01,3.14,-14.92,59.82,27.47,156.31,57.48,311.41
24,BAC,Bank of America Corporation,355996663808,29880118,0.84,1.27,3.37,3.59,-2.53,-11.49,-8.93,5.1,26.32,85.29,15.47,127.22
25,PG,Procter & Gamble Company (The),336842653696,8319418,0.25,0.53,-0.25,-5.39,-9.08,-9.53,-2.07,-6.93,-11.01,-0.11,9.13,40.79
26,CAT,"Caterpillar, Inc.",336496033792,1587998,0.05,0.34,5.6,2.75,-1.77,-3.14,25.78,83.99,89.26,247.32,275.67,551.49
27,HD,"Home Depot, Inc. (The)",331183783936,2879958,0.09,0.48,3.67,-2.94,-9.31,-14.1,-9.22,-7.81,-16.73,24.51,0.9,52.13
28,KO,Coca-Cola Company (The),323887529984,14783102,0.46,0.78,0.67,-3.3,-2.99,-1.36,6.7,9.46,13.61,29.49,51.69,92.51
29,CSCO,"Cisco Systems, Inc.",323318087680,22184091,0.69,1.2,5.38,3.71,1.19,-5.17,11.23,20.67,60.04,90.01,60.34,106.82
30,GE,GE Aerospace,312815616000,4448971,0.14,2.04,3.41,-2.45,-12.6,-6.11,-3.78,20.5,59.58,292.38,346.54,768.16
31,MRK,"Merck & Company, Inc.",295129448448,10184772,0.35,2.58,4.55,3.41,-0.02,2.65,32.62,50.52,15.9,15.36,63.42,86.97
32,LRCX,Lam Research Corporation,293220188160,8303586,0.28,-2.26,2.23,6.4,4.69,3.14,45.03,134.98,192.06,383.12,304.68,818.8
33,AMAT,"Applied Materials, Inc.",293111857152,5036375,0.17,-1.24,3.44,6.69,3.24,12.38,60.59,90.57,86.37,243.6,155.35,596.52
34,MS,Morgan Stanley,263029030912,4596754,0.17,-0.13,2.59,6.39,-1.15,-6.88,-1.98,19.56,60.56,106.77,95.18,334.84
35,RTX,RTX Corporation,262464978944,3368159,0.13,0.52,-1.59,-5.37,-6.62,0.23,10.54,36.14,62.23,113.13,138.96,251.21
36,PM,Philip Morris International Inc,257630470144,1781487,0.07,0.99,1.47,-4.46,-6.74,-8.6,8.32,-4.3,47.14,92.6,117.01,202.0
37,GS,"Goldman Sachs Group, Inc. (The)",252491825152,1581118,0.06,0.73,3.48,5.92,-2.93,-10.82,1.37,22.62,74.76,169.2,135.9,372.23
38,GEV,GE Vernova Inc.,250615988224,2835026,0.11,1.57,8.53,11.71,9.86,16.88,60.75,74.66,250.82,,,
