Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
393,AMCR,Amcor plc,19997337600,5959801,2.98,-0.94,-8.25,-11.35,-11.85,2.52,7.73,-3.31,-17.93,-12.55,-14.02,22.05
394,NVR,"NVR, Inc.",19759124480,27278,0.01,-1.64,-5.46,-4.45,-14.05,-10.35,-6.35,-0.49,-27.96,27.26,42.73,151.4
395,TROW,"T. Rowe Price Group, Inc.",19728623616,2056790,1.04,-1.78,-3.23,-5.11,-2.96,-15.59,-11.63,1.14,-13.0,-5.81,-47.29,6.47
396,EXPD,Expeditors International of Was,19682314240,1493820,0.76,0.1,-0.8,3.52,4.48,-8.67,25.32,29.72,19.02,44.51,25.81,114.88
397,PTC,PTC Inc.,19361857536,1034118,0.53,-0.94,-0.24,5.58,7.91,-1.21,-20.56,-2.88,-9.17,29.87,27.01,157.09
398,SNA,Snap-On Incorporated,19354093568,270774,0.14,-2.65,-3.05,-3.71,-1.07,0.6,9.7,23.6,35.28,76.04,99.03,262.88
399,EVRG,"Evergy, Inc.",19196272640,1719908,0.9,0.55,-1.24,0.68,3.31,9.35,7.92,27.23,43.4,48.27,53.47,85.29
400,ALB,Albemarle Corporation,19125424128,2174689,1.14,-1.0,-1.48,-17.14,2.11,-13.82,54.09,174.19,86.17,-13.0,-26.1,190.62
401,INCY,Incyte Corporation,19093448704,1254705,0.66,-1.43,-2.17,-4.04,-4.77,-8.68,5.11,39.43,43.58,27.06,45.83,-0.53
402,DD,"DuPont de Nemours, Inc.",18962823168,6586225,3.47,-3.13,-6.24,-10.44,-8.07,3.77,34.75,63.45,33.99,64.88,63.83,176.77
403,IFF,International Flavors & Fragran,18892228608,1477613,0.78,-2.14,-6.81,-7.65,-9.48,2.23,12.61,0.12,-26.25,-13.26,-42.93,-33.51
404,SMCI,"Super Micro Computer, Inc.",18754359296,20365154,10.86,-2.88,2.05,-6.82,2.89,-3.51,-35.16,-27.37,-28.39,210.95,786.97,1244.35
405,ZBH,"Zimmer Biomet Holdings, Inc.",18650865664,2077603,1.11,0.71,-3.94,-5.75,-1.12,7.51,-8.41,5.13,-10.23,-25.36,-33.17,-8.59
406,LNT,Alliant Energy Corporation,18398427136,2213174,1.2,0.29,-0.94,0.41,2.68,7.0,4.52,20.91,24.67,42.84,43.43,86.09
407,FTV,Fortive Corporation,18227732480,3321869,1.82,-1.1,-1.1,-1.59,2.48,4.88,16.14,9.68,-0.93,19.73,4.24,71.2
408,LII,"Lennox International, Inc.",18149111808,364592,0.2,-2.13,-6.31,-4.16,-7.35,1.53,4.55,-3.0,-14.93,125.96,74.48,210.4
409,CF,"CF Industries Holdings, Inc.",18058743808,8218283,4.55,4.51,8.92,20.43,23.62,30.45,35.41,14.93,44.24,73.86,113.5,444.45
410,HPQ,HP Inc.,17863976960,11697492,6.55,0.62,2.37,6.86,3.13,-1.87,-28.81,-18.12,-41.15,-26.33,-25.75,68.57
411,WST,"West Pharmaceutical Services, I",17707202560,889151,0.5,0.62,-2.2,-0.81,0.92,-0.68,-17.21,13.04,-20.62,-28.09,-40.94,22.35
412,WY,Weyerhaeuser Company,17661093888,6403707,3.63,-0.53,-1.09,0.57,-9.39,-8.55,3.53,-3.61,-24.17,-11.03,-21.56,76.82
413,ESS,"Essex Property Trust, Inc.",17639675904,324487,0.18,-1.2,-0.14,-1.85,1.5,0.86,-2.64,-7.41,-13.8,34.93,-11.18,35.56
414,MKC,"McCormick & Company, Incorporat",17408219136,2060971,1.18,-0.64,-4.17,-6.06,-9.49,5.96,-2.31,-9.33,-19.26,-19.34,-11.98,-13.77
415,HOLX,"Hologic, Inc.",16908569600,3080313,1.82,-0.01,0.37,0.53,1.11,0.84,2.37,18.09,-8.08,-8.59,2.89,47.5
416,HII,"Huntington Ingalls Industries, ",16839429120,322599,0.19,1.89,-2.55,-1.18,5.82,1.49,44.16,85.61,65.48,122.07,122.58,188.27
417,BALL,Ball Corporation,16757239808,1601960,0.96,-1.09,-4.1,-5.02,-6.0,11.42,26.37,14.29,-4.79,23.91,-28.01,9.75
418,PODD,Insulet Corporation,16684519424,1186908,0.71,-1.63,-2.0,-4.48,-1.58,-15.35,-26.14,-22.14,-0.28,-25.4,-22.12,21.53
419,TRMB,Trimble Inc.,16673501184,2014603,1.21,-0.54,1.33,4.38,6.17,-1.96,-13.93,-2.34,16.41,43.14,-19.56,103.9
420,TXT,Textron Inc.,16538464256,1137473,0.69,-1.49,-3.64,-1.74,-3.84,-1.11,16.94,23.61,6.9,40.63,27.83,308.98
421,VTRS,Viatris Inc.,16309060608,10816996,6.63,-2.55,-4.9,-11.94,-10.32,6.95,38.4,65.38,26.18,61.95,22.47,11.47
422,FFIV,"F5, Inc.",16260470784,581842,0.36,0.91,1.66,2.75,9.24,9.24,-4.06,-0.82,31.61,95.09,37.44,108.87
423,J,Jacobs Solutions Inc.,16153298944,426815,0.26,0.51,-1.5,2.5,4.28,-2.1,-13.86,7.25,12.23,50.33,25.23,141.08
424,TYL,"Tyler Technologies, Inc.",16101878784,422834,0.26,2.38,2.01,11.78,30.5,-14.98,-26.36,-35.48,-35.44,6.18,-29.03,12.92
425,GPC,Genuine Parts Company,16070043648,853177,0.53,-0.45,0.14,-0.29,-21.02,-14.81,-10.25,-0.8,-12.82,-22.15,-1.5,94.14
426,CDW,CDW Corporation,16068501504,1118355,0.7,-0.72,-1.48,1.51,-2.2,-4.07,-21.22,-26.78,-44.55,-30.71,-31.7,35.71
427,INVH,Invitation Homes Inc.,16067269632,5620254,3.5,-0.79,-0.27,2.3,-2.35,-3.0,-8.21,-19.46,-23.15,-7.75,-26.33,28.83
428,TKO,"TKO Group Holdings, Inc.",15995982848,944205,0.59,-4.28,-7.85,-2.19,1.35,1.27,8.88,21.58,64.85,112.53,259.34,427.97
429,MAA,Mid-America Apartment Communiti,15937931264,773458,0.49,-1.21,-0.58,-0.94,-0.49,-1.39,0.23,-7.91,-14.12,0.02,-22.87,50.34
430,KIM,Kimco Realty Corporation (HC),15765078016,6856367,4.35,0.13,0.04,0.94,5.47,13.39,6.74,16.02,7.3,41.09,23.99,239.29
431,APTV,Aptiv PLC,15708972032,1691044,1.08,0.68,1.82,-4.89,-12.41,-6.23,-15.65,7.54,3.09,-29.43,-56.82,19.59
432,NWS,News Corporation,15306772480,1153156,0.75,2.82,5.64,5.48,7.95,-10.5,-8.13,-12.73,-0.01,61.76,17.75,166.48
433,NDSN,Nordson Corporation,15219997696,263537,0.17,-2.91,-5.19,-6.19,-7.41,-0.4,16.06,28.81,6.86,34.54,12.9,81.43
434,DECK,Deckers Outdoor Corporation,15193899008,1866599,1.23,-3.1,-5.11,-12.7,-10.14,2.59,19.91,1.6,-31.46,40.12,65.01,361.73
435,PNR,Pentair plc.,15082872832,1003403,0.67,-3.96,-5.53,-8.58,-7.61,-14.55,-15.79,-3.54,-1.79,81.51,28.66,204.33
436,COO,"The Cooper Companies, Inc.",15002119168,5163141,3.44,-4.55,-8.18,-8.29,-6.3,-7.55,4.14,11.33,-31.1,-17.75,-26.55,3.36
437,IEX,IDEX Corporation,14812703744,438998,0.3,-2.67,-5.29,-4.02,-3.53,0.03,18.26,13.78,-3.9,-4.92,-5.41,45.19
438,REG,Regency Centers Corporation,14689342464,922372,0.63,-0.82,-1.38,0.94,4.01,11.01,9.51,14.53,14.62,45.94,33.54,178.2
439,AKAM,"Akamai Technologies, Inc.",14472872960,2736813,1.89,-1.1,-2.15,-0.15,-4.51,2.95,33.1,26.96,0.45,26.57,-7.45,4.74
440,NWSA,News Corporation,14112111616,3151607,2.23,1.4,3.4,4.41,9.91,-7.89,-6.46,-11.01,-6.57,45.36,6.07,144.26
441,UDR,"UDR, Inc.",14024217600,2060843,1.47,-1.11,-0.56,-1.11,-2.41,-0.8,4.0,-5.93,-13.88,3.16,-19.68,32.22
