Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4439307976704,176552775,0.4,2.72,-0.21,-1.21,-0.09,-2.67,-4.61,25.56,57.51,562.83,690.06,2183.25
2,AAPL,Apple Inc.,3819697078272,38153594,0.1,0.94,-1.01,-4.79,1.6,4.87,-3.14,32.6,14.63,62.71,78.93,246.53
3,GOOGL,Alphabet Inc.,3706036944896,29263937,0.08,2.7,1.14,-0.26,0.28,-6.51,13.93,77.16,88.35,190.2,124.74,355.3
3,GOOG,Alphabet Inc.,3701803319296,19587398,0.05,2.66,0.91,-0.3,0.07,-6.76,13.52,76.28,86.93,188.47,122.32,355.0
4,MSFT,Microsoft Corporation,3042889957376,30073894,0.1,0.11,1.04,1.91,2.25,-11.93,-22.65,-14.25,-4.84,44.82,37.89,138.74
5,AMZN,"Amazon.com, Inc.",2291798376448,54486876,0.24,0.13,-1.54,2.68,7.39,-10.73,-5.94,0.46,11.42,108.96,28.59,78.74
6,AVGO,Broadcom Inc.,1639295352832,40516706,0.25,4.62,8.89,7.48,6.33,8.03,-4.32,38.43,104.45,472.27,619.52,1382.27
7,META,"Meta Platforms, Inc.",1637608980480,13463314,0.08,0.39,-3.05,-1.46,1.19,-1.73,-13.71,-6.81,15.78,203.57,98.34,215.22
8,TSLA,"Tesla, Inc.",1496019501056,66822812,0.45,0.49,-1.79,-2.42,-4.49,-11.22,-11.88,23.79,67.34,116.08,16.7,644.43
9,WMT,Walmart Inc.,991344263168,19369207,0.2,0.44,-2.71,-0.06,-7.13,5.61,19.26,31.33,59.13,156.02,162.95,226.01
10,LLY,Eli Lilly and Company,902527975424,2800064,0.03,1.82,0.48,-1.33,-3.04,-5.09,22.4,29.14,10.61,180.93,329.26,578.79
11,JPM,JP Morgan Chase & Co.,781923713024,12231302,0.16,0.15,-3.16,-5.3,-4.17,-2.62,-4.25,7.33,41.75,141.49,89.23,286.12
12,XOM,Exxon Mobil Corporation,626847907840,25491330,0.41,-0.51,0.41,1.28,1.34,12.2,31.76,36.22,37.32,45.47,174.91,357.47
13,V,Visa Inc.,609202667520,8380218,0.14,-0.44,-1.4,-0.23,0.6,-2.93,-8.79,-6.63,12.19,42.75,39.77,82.04
14,JNJ,Johnson & Johnson,584617361408,7841537,0.13,0.91,-1.1,-0.36,0.18,10.78,28.97,64.02,54.34,61.43,68.2,94.33
15,MA,Mastercard Incorporated,462032830464,3546580,0.08,-0.88,-0.99,0.57,-0.12,-1.34,-9.41,-3.5,5.97,46.06,47.09,92.83
16,COST,Costco Wholesale Corporation,446310678528,2346852,0.05,0.72,-0.14,1.88,-1.29,2.24,8.27,3.41,11.57,111.74,115.5,265.24
17,MU,"Micron Technology, Inc.",438183264256,35399251,0.81,5.14,-2.86,-6.31,-5.43,-2.58,76.95,220.22,330.74,523.02,479.49,772.55
18,ORCL,Oracle Corporation,435597213696,31068913,0.71,-0.92,-0.53,0.83,-5.36,-14.45,-46.0,-27.66,-8.44,66.88,63.9,210.47
19,NFLX,"Netflix, Inc.",417062584320,48540328,1.16,-0.71,-0.34,16.23,27.9,14.17,-10.17,-19.56,40.25,190.04,46.38,122.47
20,ABBV,AbbVie Inc.,402170019840,7915223,0.2,-1.16,-3.7,1.23,-1.75,3.74,0.55,25.57,23.63,57.18,145.05,217.85
21,CVX,Chevron Corporation,378757545984,15958751,0.42,-0.26,1.83,2.87,4.11,14.74,24.57,31.98,38.8,27.81,99.74,174.41
22,PLTR,Palantir Technologies Inc.,374129819648,47436735,1.27,-0.46,2.12,15.07,19.04,-7.77,-17.31,11.77,320.51,1764.48,515.62,
23,PG,Procter & Gamble Company (The),363290132480,12493494,0.34,1.03,-1.95,-5.21,-3.03,3.38,3.02,0.3,-7.36,11.0,22.69,57.51
24,HD,"Home Depot, Inc. (The)",351973048320,4223301,0.12,-1.22,-4.21,-5.74,-9.59,-7.87,-7.64,3.12,-6.56,30.11,5.8,73.17
25,BAC,Bank of America Corporation,349789552640,62714249,1.79,-1.52,-4.23,-7.9,-8.33,-6.86,-8.67,8.06,23.07,85.32,12.79,155.45
26,GE,GE Aerospace,339576225792,5734854,0.17,-0.22,-5.12,-5.41,2.22,9.71,3.17,37.2,73.53,334.3,401.58,1065.64
27,KO,Coca-Cola Company (The),334665187328,18549249,0.55,0.99,-0.38,-3.35,-1.12,6.75,11.83,14.07,12.65,34.79,62.91,112.15
