Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4421808291840,178520213,0.4,-0.7,-0.66,2.32,-5.66,-1.98,-8.43,15.35,49.87,558.15,590.56,1923.47
2,GOOGL,Alphabet Inc.,3761199644672,21500980,0.06,1.75,2.43,4.23,0.08,-9.47,12.18,74.55,88.55,199.99,115.56,343.65
2,GOOG,Alphabet Inc.,3742932926464,14395157,0.04,1.64,2.04,3.8,-0.42,-10.23,11.43,73.95,86.13,196.76,113.87,342.35
3,AAPL,Apple Inc.,3736653529088,27556024,0.07,0.56,-0.6,-1.25,-6.58,-5.76,-5.68,26.82,9.83,54.93,73.43,229.05
4,MSFT,Microsoft Corporation,2968566104064,24516587,0.08,-0.14,-0.61,-2.34,2.68,-5.44,-22.02,-19.0,-6.09,41.79,24.42,128.49
5,AMZN,"Amazon.com, Inc.",2310155010048,41658353,0.18,1.63,2.71,0.93,3.18,-11.43,-13.69,-3.63,15.49,110.36,29.92,76.62
6,META,"Meta Platforms, Inc.",1575052902400,10268468,0.07,-0.76,-2.35,-3.36,-2.52,-11.78,-0.58,-14.93,9.3,188.01,91.28,167.14
7,AVGO,Broadcom Inc.,1523418660864,37931378,0.25,-1.11,-4.36,-2.77,-1.28,-2.96,-8.53,19.72,88.45,427.67,549.98,1227.45
8,TSLA,"Tesla, Inc.",1498233438208,46052732,0.31,0.94,1.08,0.64,-2.47,-5.34,-10.13,23.37,52.61,116.63,2.2,633.16
9,WMT,Walmart Inc.,997244272640,12828419,0.13,-0.72,-0.2,1.03,-1.32,0.82,22.55,29.15,56.73,158.68,165.11,225.55
10,LLY,Eli Lilly and Company,832680689664,5616787,0.07,-5.94,-4.8,-6.06,-10.73,-10.75,2.91,20.62,6.15,157.15,277.84,556.17
11,JPM,JP Morgan Chase & Co.,773751701504,8668279,0.11,0.26,1.41,-0.89,-3.5,-6.9,-6.81,1.35,40.42,116.14,87.77,273.75
12,XOM,Exxon Mobil Corporation,661723676672,21579042,0.33,1.0,3.44,5.03,6.4,15.51,41.29,48.81,42.55,50.41,188.1,358.01
13,V,Visa Inc.,594723078144,5290938,0.09,-0.53,0.64,-2.8,0.4,-7.41,-8.99,-11.0,13.43,35.08,52.58,68.44
14,JNJ,Johnson & Johnson,573821026304,4681347,0.08,-2.09,-1.62,-0.95,-3.32,3.74,28.92,59.22,53.45,61.71,63.59,93.72
15,MU,"Micron Technology, Inc.",519636353024,42078368,0.81,4.5,13.9,24.68,10.45,5.46,111.84,270.79,347.72,654.82,567.79,952.94
16,MA,Mastercard Incorporated,452091084800,1960966,0.04,-0.38,1.86,-3.02,1.72,-8.79,-8.22,-7.56,3.47,38.24,58.11,77.42
17,ORCL,Oracle Corporation,444895559680,21225502,0.48,-0.82,-2.81,1.13,5.85,-3.35,-37.5,-25.94,-7.87,65.54,70.81,218.63
18,COST,Costco Wholesale Corporation,441988218880,1074132,0.02,-0.56,-0.71,-0.19,-0.23,2.87,6.04,1.54,13.26,108.8,110.52,259.19
19,NFLX,"Netflix, Inc.",400264691712,26283342,0.66,-0.88,0.05,-4.71,20.91,14.02,-13.67,-28.68,33.04,182.77,39.23,119.79
