Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4311464017920,141415327,0.33,0.93,7.4,1.25,-3.14,-5.59,-1.79,3.53,30.75,544.17,461.22,1800.38
2,AAPL,Apple Inc.,3761492983808,26686584,0.07,0.11,3.77,1.7,0.06,-1.79,-3.79,22.14,11.14,56.6,65.66,199.37
3,GOOGL,Alphabet Inc.,3577929793536,20556391,0.06,-0.54,8.14,1.84,-2.56,-2.27,2.32,62.01,80.11,184.85,99.02,307.2
3,GOOG,Alphabet Inc.,3562082664448,13309515,0.04,-0.15,7.81,1.82,-2.89,-2.93,1.68,60.59,77.61,182.18,96.99,305.06
4,MSFT,Microsoft Corporation,2775695753216,23843717,0.09,1.11,4.04,0.19,-7.07,-6.27,-21.76,-25.71,-9.2,25.18,13.36,99.18
5,AMZN,"Amazon.com, Inc.",2251864408064,30069843,0.13,-0.38,4.39,1.22,0.11,2.4,-3.39,-6.01,12.24,101.7,13.51,58.47
6,AVGO,Broadcom Inc.,1491367493632,13954523,0.09,0.34,7.2,-1.18,-6.18,-5.62,-8.94,12.66,80.36,436.45,495.78,1043.56
7,META,"Meta Platforms, Inc.",1453128548352,13227398,0.09,-0.82,7.1,-3.11,-9.91,-10.83,-2.33,-18.08,0.08,147.93,70.94,144.57
8,TSLA,"Tesla, Inc.",1353089417216,82532959,0.61,-5.42,1.49,-5.86,-8.71,-12.42,-8.76,12.1,62.92,123.69,-1.33,427.67
9,WMT,Walmart Inc.,1002848518144,11301119,0.11,0.84,1.85,3.06,0.57,0.94,17.92,33.05,57.03,158.63,179.41,236.65
10,LLY,Eli Lilly and Company,837361664000,2719174,0.03,-1.98,5.52,3.61,-4.26,-8.57,-10.17,19.09,3.19,123.27,272.24,560.56
11,JPM,JP Morgan Chase & Co.,794545750016,6648158,0.08,-0.26,3.82,0.75,4.14,-4.37,-0.82,4.04,35.12,133.99,101.59,223.76
12,XOM,Exxon Mobil Corporation,669557260288,25214624,0.38,-0.06,-6.29,-2.84,4.66,6.44,38.23,46.75,40.13,67.83,193.12,308.08
13,JNJ,Johnson & Johnson,585701851136,5282963,0.09,-0.44,0.23,3.3,0.41,-1.04,21.08,50.31,54.51,63.91,70.26,93.14
14,V,Visa Inc.,579954278400,4365266,0.08,0.77,0.42,-0.97,-1.86,-5.68,-6.9,-13.53,5.78,36.4,52.78,56.37
15,COST,Costco Wholesale Corporation,450509701120,1824372,0.04,1.85,1.84,4.22,1.16,2.75,13.78,7.13,15.28,115.14,101.38,260.13
16,MA,Mastercard Incorporated,440364466176,2475234,0.06,0.36,-0.11,-1.1,-0.78,-5.16,-6.38,-10.92,-3.32,33.29,45.28,62.75
