Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4380976218112,160988424,0.37,-1.58,-2.44,-1.52,-5.04,-6.36,-10.97,16.83,45.37,574.23,606.5,1917.35
2,AAPL,Apple Inc.,3676245065728,36929988,0.1,-2.21,-4.11,-4.72,-5.47,-3.07,-7.31,24.47,10.66,53.59,70.88,223.39
3,GOOGL,Alphabet Inc.,3656681259008,23693092,0.06,-0.42,-1.55,-0.21,-3.96,-10.57,7.65,77.5,86.83,179.95,105.87,332.57
3,GOOG,Alphabet Inc.,3646761730048,16857533,0.05,-0.58,-1.78,-0.59,-4.2,-10.92,7.11,76.18,85.06,177.67,104.99,332.12
4,MSFT,Microsoft Corporation,2939877064704,26350249,0.09,-1.57,-2.52,-2.38,-0.42,-8.55,-23.29,-19.18,-7.22,41.51,23.78,123.66
5,AMZN,"Amazon.com, Inc.",2229321072640,35662137,0.16,-0.89,-3.11,-4.22,-1.16,-14.09,-14.97,-2.04,8.64,102.59,23.16,66.27
6,META,"Meta Platforms, Inc.",1552413491200,18957637,0.12,-3.83,-6.17,-8.09,-6.4,-16.88,-5.27,-13.27,8.51,179.02,90.99,168.73
7,AVGO,Broadcom Inc.,1527448731648,34724950,0.23,-4.11,-5.96,1.46,-3.15,-2.59,-12.68,22.17,83.02,439.98,558.32,1221.27
8,TSLA,"Tesla, Inc.",1467951349760,58504091,0.4,-0.96,-2.01,-3.63,-5.01,-6.09,-14.32,19.43,53.88,111.46,5.35,619.51
9,WMT,Walmart Inc.,1008725131264,15194094,0.15,0.95,1.12,-1.01,2.87,7.76,25.3,30.65,60.18,164.07,168.71,226.35
10,LLY,Eli Lilly and Company,881665114112,1549056,0.02,0.8,-1.62,-1.84,-2.42,-3.65,14.52,25.0,9.5,168.78,303.35,585.83
11,JPM,JP Morgan Chase & Co.,764446900224,9082914,0.12,0.19,-1.83,-5.33,-8.8,-7.5,-8.49,1.2,39.44,117.65,86.14,261.74
12,XOM,Exxon Mobil Corporation,650515120128,17491781,0.27,1.69,5.39,4.21,6.0,11.85,38.63,47.65,45.63,48.99,184.76,342.61
13,V,Visa Inc.,592178118656,4811656,0.08,0.21,-2.32,-4.16,-4.3,-7.24,-9.5,-10.52,14.3,34.26,50.04,65.12
14,JNJ,Johnson & Johnson,582038847488,6414884,0.11,-0.21,-0.9,-1.54,0.13,6.83,29.37,61.64,56.29,59.25,68.69,93.42
15,MU,"Micron Technology, Inc.",479613255680,39260990,0.82,5.13,5.71,6.33,-0.48,-2.22,90.51,235.54,290.03,588.9,531.16,836.42
16,COST,Costco Wholesale Corporation,447432327168,1469672,0.03,0.51,1.11,0.17,2.35,5.97,10.79,2.65,12.76,113.78,115.48,260.65
17,ORCL,Oracle Corporation,445800251392,26211568,0.59,-2.54,3.82,1.8,4.75,-8.22,-40.78,-25.91,-6.35,67.31,71.15,217.8
18,MA,Mastercard Incorporated,444425043968,2330946,0.05,0.14,-3.25,-4.77,-5.4,-8.41,-9.65,-9.03,2.24,35.86,52.17,72.14
19,NFLX,"Netflix, Inc.",404294467584,29876659,0.74,1.06,-1.68,-3.4,21.15,14.61,-14.82,-25.26,33.97,181.46,38.07,112.9
20,CVX,Chevron Corporation,393512779776,10593636,0.27,-0.08,5.65,5.8,7.01,16.1,27.42,41.87,47.95,29.59,106.36,172.06
21,ABBV,AbbVie Inc.,388431347712,3295384,0.08,-2.52,-3.23,-6.99,-2.28,-0.34,1.56,21.35,20.39,50.14,123.94,202.78
