Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4503464574976,142114605,0.32,-0.31,0.87,4.51,-0.87,-3.4,6.49,52.38,46.4,1057.15,850.73,2261.57
2,GOOG,Alphabet Inc.,3835825225728,13999046,0.04,1.05,-0.14,-0.68,11.33,17.79,67.54,87.5,72.5,246.99,136.75,319.38
2,AMZN,"Amazon.com, Inc.",2436513923072,23202026,0.1,0.45,-0.52,-2.27,-2.13,0.42,6.13,12.13,17.72,139.69,36.99,110.04
3,META,"Meta Platforms, Inc.",1655885922304,12937317,0.08,-1.48,-0.69,1.39,9.13,-12.5,-12.35,6.31,28.56,397.41,85.52,203.93
4,TSM,Taiwan Semiconductor Manufactur,1573637455872,11314793,0.07,0.51,3.58,4.08,7.59,1.73,29.4,68.62,79.45,287.69,179.99,486.08
5,TSLA,"Tesla, Inc.",1480554971136,60868108,0.41,1.27,-2.06,3.49,8.86,-1.6,47.1,59.91,126.7,261.28,94.34,627.86
6,PLTR,Palantir Technologies Inc.,433404051456,18572187,0.43,0.19,2.2,7.95,6.18,-3.88,17.87,87.95,654.52,2505.16,737.59,
7,BABA,Alibaba Group Holding Limited,372126220288,6433422,0.17,-1.37,-0.94,-0.85,-1.11,-13.09,33.22,17.93,113.83,42.78,-15.87,-26.07
8,AMD,"Advanced Micro Devices, Inc.",360806580224,25095874,0.7,0.23,2.61,1.88,-7.86,-14.65,29.07,94.66,40.68,220.91,108.7,276.26
9,SHOP,Shopify Inc.,208151674880,4722023,0.23,0.93,-1.49,0.79,14.26,-8.67,34.81,46.31,144.29,338.78,6.6,194.34
10,DE,Deere & Company,125124665344,841222,0.07,-0.75,-4.18,-0.35,-2.76,-3.19,-7.29,-2.58,25.68,10.97,35.48,203.66
11,HOOD,"Robinhood Markets, Inc.",122028924928,18784021,1.54,-0.53,-1.0,5.62,17.02,-6.96,35.85,180.62,508.29,1449.2,286.09,
12,ABNB,"Airbnb, Inc.",76768231424,3498711,0.46,2.77,3.78,7.18,6.62,-2.85,-2.05,-3.41,-16.41,32.77,-12.93,
13,COIN,"Coinbase Global, Inc.",74788405248,7818807,1.05,1.15,1.21,1.66,5.08,-23.26,-11.86,36.6,29.26,533.39,17.24,
14,RBLX,Roblox Corporation,69490622464,5797213,0.83,1.39,3.98,4.18,-2.24,-22.95,-20.82,61.82,168.22,200.91,28.6,
15,CRWV,"CoreWeave, Inc.",45177466880,33967223,7.52,5.13,5.73,23.99,20.35,-33.37,-12.94,,,,,
16,BIDU,"Baidu, Inc.",43206180864,3857755,0.89,-4.71,4.4,6.03,8.61,-3.67,43.9,29.28,40.49,-10.59,-24.43,-8.74
17,XYZ,"Block, Inc.",37532086272,4054910,1.08,0.87,-1.0,-7.83,4.55,-23.18,-16.83,-1.61,-2.72,-14.09,-75.1,-27.77
18,NTRA,"Natera, Inc.",32506546176,768864,0.24,-1.51,-2.7,-1.37,14.31,22.53,75.01,53.11,111.45,470.98,105.67,534.34
19,SOFI,"SoFi Technologies, Inc.",32354379776,57469198,17.76,-2.83,-9.36,-9.72,-0.78,-10.57,26.38,95.55,315.33,420.97,73.77,
20,TER,"Teradyne, Inc.",31809935360,1868357,0.59,-1.49,0.67,9.94,19.52,35.68,92.32,120.47,37.03,110.24,60.43,201.72
21,CRCL,"Circle Internet Group, Inc.",22614415360,14403596,6.37,5.86,1.62,11.2,16.05,-37.97,-47.13,,,,,
22,ILMN,"Illumina, Inc.",20308381696,3148458,1.55,3.83,3.2,0.52,10.03,31.67,39.58,50.11,25.03,-33.43,-72.6,-55.2
23,TTD,"The Trade Desk, Inc.",19264350208,8736728,4.54,0.13,0.13,-0.4,-2.01,-26.51,-54.23,-33.6,-59.68,-16.72,-51.9,24.91
24,DKNG,DraftKings Inc.,17392171008,8187932,4.71,-1.74,-0.71,5.37,21.24,6.01,-20.1,-13.77,-7.25,167.33,-27.96,94.44
25,BWXT,"BWX Technologies, Inc.",16197161984,698757,0.43,-0.89,-0.66,-0.96,0.7,-13.05,18.84,71.09,87.78,209.39,225.73,173.56
26,ROKU,"Roku, Inc.",15596677120,2933857,1.88,3.8,11.66,9.06,8.95,6.83,31.98,29.95,84.67,115.56,-75.35,-16.59
27,BMNR,"BitMine Immersion Technologies,",15059298304,59616954,39.59,9.4,7.99,18.42,26.73,-26.98,23.81,,,,,
28,TEM,"Tempus AI, Inc.",13499602944,2766129,2.05,-1.51,-0.59,-2.63,14.29,-17.14,38.24,28.61,175.33,,,
29,KTOS,Kratos Defense & Security Solut,13005799424,2039342,1.57,0.0,-0.84,1.22,9.67,-15.05,35.83,136.8,288.84,611.92,183.2,270.16
30,BLSH,Bullish,6948027392,1203774,1.73,0.39,-4.77,5.71,25.47,-18.11,,,,,,
31,ACHR,Archer Aviation Inc.,6335362560,24555315,38.76,0.23,-3.58,10.78,16.31,-23.9,-10.48,-3.36,136.44,265.68,-13.09,
32,CRSP,CRISPR Therapeutics AG,5435925504,2166433,3.99,-0.56,-1.96,6.68,3.11,-13.21,1.69,33.83,0.72,17.97,-52.87,-1.84
33,WGS,GeneDx Holdings Corp.,4648436224,292692,0.63,0.64,-0.7,-3.67,24.14,23.08,58.29,55.85,514.05,1007.58,-56.8,
34,VCYT,"Veracyte, Inc.",3465515776,779795,2.25,-1.17,-7.53,-7.39,11.61,21.88,85.45,32.21,94.84,73.83,-1.62,63.95
35,BEAM,Beam Therapeutics Inc.,2687056384,1093923,4.07,-2.29,-8.41,4.54,20.25,-0.94,40.63,10.29,6.6,-35.23,-71.22,-6.03
36,RXRX,"Recursion Pharmaceuticals, Inc.",2486423296,17577253,70.69,-1.04,-3.05,3.02,15.78,-24.29,-16.02,-29.75,-45.55,-39.77,-84.28,
37,TXG,"10x Genomics, Inc.",2257706496,1778161,7.88,2.12,-1.71,-5.16,13.63,31.27,36.39,71.7,-8.51,-57.46,-90.26,-80.31
38,TWST,Twist Bioscience Corporation,1931054592,900106,4.66,-1.99,-3.75,-1.34,19.35,-7.61,-6.24,-29.73,-32.04,18.19,-74.34,11.04
39,IRDM,Iridium Communications Inc,1883522048,1573456,8.35,-0.28,1.2,8.23,9.1,-1.11,-25.97,-36.19,-31.09,-68.82,-55.89,-40.14
40,PD,"PagerDuty, Inc.",1225257728,2336079,19.07,4.29,9.41,9.5,-11.57,-18.94,-14.95,-32.06,-41.37,-49.92,-67.63,-40.25
41,NTLA,"Intellia Therapeutics, Inc.",1077218304,3094858,28.73,-1.48,-4.52,3.45,9.67,-37.12,-19.06,-0.11,-59.41,-75.21,-93.44,-33.62
42,PACB,Pacific Biosciences of Californ,733635072,4874671,66.45,4.74,-3.57,4.74,54.78,16.27,82.71,82.71,78.68,-75.4,-92.44,-45.88
43,CERS,Cerus Corporation,357282752,651373,18.23,-0.53,-11.43,5.68,21.57,20.78,46.46,19.23,11.38,-36.52,-63.1,-64.3
