Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4604261564416,146469945,0.32,1.0,0.14,-0.75,7.27,5.72,4.97,95.18,65.59,752.51,758.86,3395.03
2,GOOG,Alphabet Inc.,3892321189888,24634432,0.06,2.51,2.25,2.37,4.24,7.67,52.06,115.75,86.09,224.85,128.57,480.19
2,AMZN,"Amazon.com, Inc.",2582328639488,42130287,0.16,0.26,6.65,3.89,8.55,9.46,4.3,44.37,33.58,141.44,45.69,167.24
3,TSM,Taiwan Semiconductor Manufactur,1652835221504,11683210,0.07,-2.67,-0.29,5.23,10.75,16.17,34.53,117.58,103.5,254.17,191.23,632.96
4,META,"Meta Platforms, Inc.",1635041017856,12725403,0.08,-1.81,-0.26,-2.2,0.18,9.25,-13.51,34.15,41.32,256.11,79.27,337.17
5,TSLA,"Tesla, Inc.",1434791706624,58880190,0.41,-0.36,-1.52,-9.21,-9.24,10.31,24.69,89.63,99.74,114.32,84.58,1404.22
6,PLTR,Palantir Technologies Inc.,433022697472,43420859,1.0,1.1,8.23,-3.73,-0.86,17.33,14.9,100.09,583.01,2110.22,630.52,
7,BABA,Alibaba Group Holding Limited,350150819840,12447388,0.36,-2.75,-5.77,-3.61,-2.23,-4.04,22.73,35.48,96.87,47.01,-6.49,-16.39
8,AMD,"Advanced Micro Devices, Inc.",341921300480,29048477,0.85,-2.02,-6.02,-2.31,1.18,3.06,24.58,145.47,45.21,147.99,95.79,401.48
9,SHOP,Shopify Inc.,217069305856,4058459,0.19,-1.02,6.07,-2.39,4.31,12.81,17.8,104.24,181.32,234.82,10.02,369.57
10,DE,Deere & Company,128515678208,1285515,0.1,-2.22,1.8,1.69,-2.29,-2.13,-2.63,8.71,31.37,21.55,32.88,307.2
11,HOOD,"Robinhood Markets, Inc.",105178120192,18804710,1.79,-3.89,1.53,-0.98,1.48,9.01,12.81,193.53,446.33,1017.19,149.62,
12,ABNB,"Airbnb, Inc.",83900768256,3506045,0.42,-0.71,3.03,0.16,3.97,19.94,5.04,22.78,-4.99,17.77,-10.27,
13,COIN,"Coinbase Global, Inc. - 3",66316890112,7212338,1.09,-1.85,3.97,3.81,-1.79,2.3,-20.27,40.53,0.36,254.16,-1.05,
14,RBLX,Roblox Corporation,53641146368,9893839,1.84,0.78,-5.6,-7.05,-12.12,-14.38,-39.77,27.56,91.24,103.73,-10.94,
15,BIDU,"Baidu, Inc.",51178786816,3829513,0.75,0.27,-2.32,17.64,23.55,32.32,61.38,76.92,65.42,-3.63,-4.96,61.1
16,XYZ,"Block, Inc.",43566968832,5352980,1.23,2.1,9.7,7.85,11.64,15.37,-11.53,36.42,15.82,-11.91,-72.73,59.78
17,CRWV,"CoreWeave, Inc.",38460145664,14066896,3.66,-0.98,-2.7,0.99,6.68,7.72,-24.91,117.93,,,,
18,NTRA,"Natera, Inc.",35475853312,1172748,0.33,2.28,11.17,8.84,11.38,10.31,51.54,78.87,139.77,479.76,121.28,1020.21
19,TER,"Teradyne, Inc.",35390681088,2516254,0.71,-2.78,7.19,11.86,14.27,40.11,89.05,219.74,55.99,109.37,93.48,340.56
20,SOFI,"SoFi Technologies, Inc.",34032109568,43226772,12.7,0.07,-1.68,-0.26,4.57,7.19,3.69,152.57,280.28,275.0,88.02,
21,ILMN,"Illumina, Inc.",23076517888,2383328,1.03,2.06,11.75,11.26,11.28,21.23,51.4,108.53,29.11,-22.24,-67.22,-31.63
22,CRCL,"Circle Internet Group, Inc.",20505126912,6538890,3.19,-5.02,-3.45,-0.84,6.8,12.98,-38.45,,,,,
23,TTD,"The Trade Desk, Inc.",18897643520,10009469,5.3,-2.74,2.57,0.89,6.8,-2.52,-30.18,-18.73,-56.73,-25.31,-50.71,127.35
24,BWXT,"BWX Technologies, Inc.",17575878656,801709,0.46,-1.57,5.71,9.3,10.25,13.21,16.09,92.35,94.54,232.96,251.76,333.15
25,DKNG,DraftKings Inc.,17252794368,13268397,7.69,-0.83,-2.8,-0.63,-2.61,15.57,-28.14,6.84,-3.35,96.15,-40.1,168.89
26,ROKU,"Roku, Inc.",16297021440,2841485,1.74,-2.63,1.45,-1.59,1.17,18.2,13.08,86.41,98.42,86.63,-68.66,58.8
27,KTOS,Kratos Defense & Security Solut,15438794752,3525830,2.28,-0.53,15.32,17.68,23.13,32.25,33.47,186.47,319.45,699.3,278.48,695.82
28,BMNR,"BitMine Immersion Technologies,",12928561152,39469527,30.53,-6.09,-2.66,7.24,-1.91,16.8,-33.36,,,,,
29,TEM,"Tempus AI, Inc.",12412589056,4115541,3.32,0.33,11.88,11.28,1.6,-0.74,-5.28,70.25,83.36,,,
30,ACHR,Archer Aviation Inc.,6181199360,25724797,41.62,-4.54,3.57,6.72,7.54,17.27,-8.48,17.93,92.24,209.56,-15.8,
31,BLSH,Bullish,5914336768,884326,1.5,-4.85,-0.03,-4.59,-7.49,1.68,-39.08,,,,,
32,CRSP,CRISPR Therapeutics AG,5526460416,1869648,3.38,-0.34,7.85,5.28,3.09,15.45,9.31,53.33,4.69,8.62,-52.43,56.73
33,WGS,GeneDx Holdings Corp.,3946921728,336131,0.85,0.55,3.21,2.06,-9.34,-6.82,5.85,49.99,303.52,911.71,-53.71,
34,VCYT,"Veracyte, Inc.",3565908480,627162,1.76,-1.16,6.42,6.17,3.63,2.5,50.62,47.42,92.61,74.1,1.69,144.5
35,BEAM,Beam Therapeutics Inc.,2935670272,1799472,6.13,2.08,6.6,3.4,7.83,30.26,71.69,58.61,-2.95,-34.29,-71.52,92.74
36,RXRX,"Recursion Pharmaceuticals, Inc.",2533337088,32809723,129.51,6.81,15.71,14.35,15.71,16.55,-0.1,-10.17,-37.77,-41.45,-77.57,
37,TXG,"10x Genomics, Inc.",2529795328,2972215,11.75,3.52,20.28,21.22,26.84,9.0,39.99,160.29,5.38,-56.42,-87.51,-66.62
38,TWST,Twist Bioscience Corporation,2239552000,1487830,6.64,-0.87,12.84,10.59,17.64,27.98,37.46,5.76,-34.79,39.5,-66.08,63.32
39,PD,"PagerDuty, Inc.",1188891648,1463375,12.31,2.0,2.91,-3.12,0.47,-14.43,-24.65,-11.76,-37.01,-58.32,-68.4,-14.66
40,NTLA,"Intellia Therapeutics, Inc.",1173357184,5029639,42.87,4.11,9.99,7.31,10.83,23.39,-12.67,27.9,-60.43,-76.5,-93.44,-12.52
41,PACB,Pacific Biosciences of Californ,643062848,8266195,128.54,2.4,15.76,20.34,0.47,-4.05,60.15,86.84,13.3,-79.48,-92.56,-21.98
42,CERS,Cerus Corporation,401462880,854010,21.27,0.97,6.09,2.96,3.98,29.01,59.54,62.02,-9.52,-31.92,-65.74,-44.27
43,SLMT,Brera Holdings PLC,169224560,1012268,59.82,-4.65,2.5,-2.38,-5.96,0.0,-67.61,-68.8,-68.02,-91.28,,
