Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4292132732928,163004877,0.38,0.73,-4.08,-3.87,-1.44,-12.93,-2.47,60.78,43.77,915.52,756.15,2602.96
2,GOOG,Alphabet Inc.,3734059614208,21692668,0.06,-0.39,-3.64,-2.79,3.29,9.83,57.03,98.75,66.81,239.55,127.57,348.9
2,AMZN,"Amazon.com, Inc.",2379000578048,45945359,0.19,-1.61,-3.99,-2.87,0.84,-8.88,-0.26,15.47,11.27,133.12,31.84,125.62
3,META,"Meta Platforms, Inc.",1632066863104,15196370,0.09,0.59,-0.32,-2.04,9.05,-0.05,-14.88,12.52,27.71,390.18,79.64,231.37
4,TSLA,"Tesla, Inc.",1580795035648,113688935,0.72,,5.29,4.57,21.53,4.11,47.49,80.35,105.53,269.09,99.53,791.31
5,TSM,Taiwan Semiconductor Manufactur,1492364820480,11158016,0.07,-1.47,-6.97,-1.51,4.89,-3.97,19.29,75.79,67.12,236.98,160.48,496.43
6,PLTR,Palantir Technologies Inc.,436764704768,32402851,0.74,-0.17,-2.48,3.0,18.34,-8.59,0.58,113.45,609.45,2555.8,713.72,
7,BABA,Alibaba Group Holding Limited,358120161280,10465380,0.29,-3.59,-5.5,-4.67,-1.86,-11.93,24.08,15.25,107.15,39.59,-20.69,-23.14
8,AMD,"Advanced Micro Devices, Inc.",337948868608,26881069,0.8,-1.52,-6.25,-3.89,1.86,-18.95,20.41,101.1,26.33,194.31,84.76,336.37
9,SHOP,Shopify Inc.,208099606528,6730127,0.32,-2.64,-5.09,-1.52,8.15,-8.06,5.81,65.34,141.98,308.09,3.43,242.69
10,DE,Deere & Company,131923460096,1260639,0.1,0.66,4.08,1.03,0.16,5.71,-3.34,5.95,36.08,19.05,41.78,216.86
11,HOOD,"Robinhood Markets, Inc.",103640506368,28148439,2.72,-3.55,-15.04,-15.92,7.42,-21.47,3.62,174.95,413.18,1138.02,126.13,
12,ABNB,"Airbnb, Inc.",80698777600,5349106,0.66,2.66,3.32,9.1,15.36,4.16,9.81,9.21,-14.6,30.36,-12.31,
13,COIN,"Coinbase Global, Inc.",67527655424,10796981,1.6,-6.37,-8.97,-8.62,4.16,-27.16,-19.42,43.98,10.07,398.75,-1.99,
14,RBLX,Roblox Corporation,61039439872,7629548,1.25,-1.75,-7.84,-8.67,-2.57,-23.53,-32.92,47.22,134.14,143.18,7.93,
15,BIDU,"Baidu, Inc.",41424805888,2896590,0.7,-4.94,-5.74,0.09,7.1,-1.69,35.85,27.27,36.79,-5.63,-28.36,-4.5
16,XYZ,"Block, Inc.",39025565696,6704225,1.72,-1.13,1.15,2.94,3.34,-15.7,-16.69,15.71,-0.87,-11.22,-77.28,-16.91
17,CRWV,"CoreWeave, Inc.",36053270528,30172538,8.37,-7.94,-17.93,-15.63,0.98,-45.89,-40.25,80.87,,,,
18,SOFI,"SoFi Technologies, Inc.",32544780288,48249972,14.83,-5.35,-4.69,-12.77,2.5,-13.01,16.94,117.89,300.31,364.39,60.77,
19,NTRA,"Natera, Inc.",31850178560,1063167,0.33,-1.53,-2.03,-5.64,-0.97,14.81,61.89,58.68,106.32,457.35,90.91,552.39
20,TER,"Teradyne, Inc.",30971617280,3222425,1.04,0.69,-4.56,-1.98,22.61,7.2,83.21,135.97,30.98,105.62,56.72,223.56
21,ILMN,"Illumina, Inc.",20737204224,2126415,1.03,0.04,0.01,5.38,8.94,9.21,41.28,68.65,27.87,-32.62,-73.1,-48.62
22,CRCL,"Circle Internet Group, Inc.",19199862784,13877261,7.23,-9.6,-14.65,-13.72,5.79,-40.57,-50.66,,,,,
23,DKNG,DraftKings Inc.,17715724288,8393938,4.74,0.2,2.77,1.14,18.67,16.35,-21.26,0.85,-3.65,156.23,-29.5,109.85
24,TTD,"The Trade Desk, Inc.",17694842880,16680678,9.43,-1.26,-7.73,-8.03,-8.73,-28.02,-59.03,-35.2,-63.2,-20.77,-56.6,32.32
25,ROKU,"Roku, Inc.",16108637184,3850808,2.39,1.45,3.48,15.32,16.83,2.73,31.18,50.4,77.68,117.01,-72.98,-8.13
26,BWXT,"BWX Technologies, Inc.",15942080512,1059813,0.66,,-2.94,-2.22,2.69,-18.25,-2.6,76.67,87.22,219.34,249.71,209.36
27,BMNR,"BitMine Immersion Technologies,",13179807744,61050116,46.32,-11.22,-23.39,-14.76,19.07,-33.64,-25.0,,,,,
28,KTOS,Kratos Defense & Security Solut,12538110976,1701907,1.36,-2.24,-3.45,-4.4,7.41,-18.04,25.69,142.05,265.27,595.97,201.87,395.07
29,TEM,"Tempus AI, Inc.",12216891392,3199279,2.62,-2.75,-8.53,-10.04,-2.3,-23.57,16.9,43.57,90.86,,,
30,BLSH,Bullish,6393511424,1800310,2.82,-2.55,-8.02,-12.37,9.92,-16.1,,,,,,
31,ACHR,Archer Aviation Inc.,5748075008,34456288,59.94,-5.66,-6.45,-12.51,9.05,-30.21,-20.1,7.85,110.48,168.15,-20.99,
32,CRSP,CRISPR Therapeutics AG,5360637952,1563534,2.92,-0.76,-2.33,-3.32,11.98,-12.1,0.52,52.07,5.9,11.28,-57.86,12.75
33,WGS,GeneDx Holdings Corp.,4353320448,341989,0.79,-0.59,-5.02,-7.0,2.77,10.01,42.15,63.35,442.54,909.72,-61.58,
34,VCYT,"Veracyte, Inc.",3441010432,745437,2.17,1.61,0.46,-8.18,-1.09,20.65,57.26,44.52,104.75,68.0,-9.01,84.92
35,BEAM,Beam Therapeutics Inc.,2722572800,1713151,6.29,-1.94,-2.08,-7.19,20.8,7.28,50.22,20.8,18.87,-39.72,-75.75,18.56
36,RXRX,"Recursion Pharmaceuticals, Inc.",2189303552,15947479,72.84,-3.0,-11.95,-14.63,0.72,-23.91,-22.37,-27.71,-41.34,-53.02,-86.62,
37,TXG,"10x Genomics, Inc.",1994476032,2590685,12.99,1.94,-10.1,-13.17,-14.07,15.54,23.12,72.05,-16.48,-65.48,-91.01,-78.58
38,TWST,Twist Bioscience Corporation,1899869056,877293,4.62,0.45,-5.22,-5.3,8.79,-5.53,24.28,-23.02,-34.34,13.27,-74.97,-1.99
