Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4323494854656,189021949,0.44,-3.01,-1.24,-9.07,-4.88,-3.8,-4.53,23.4,50.91,558.24,684.06,2194.44
2,GOOG,Alphabet Inc.,3608535105536,17598003,0.05,-0.87,-1.73,-4.71,-3.58,-9.84,14.58,68.57,83.66,175.98,116.8,345.46
2,AMZN,"Amazon.com, Inc.",2287826370560,51152716,0.22,-2.62,2.15,1.22,6.82,-9.02,-4.91,-0.75,12.29,108.91,27.84,80.08
3,TSM,Taiwan Semiconductor Manufactur,1757654679552,13700215,0.08,-4.23,-4.03,-12.6,-7.94,3.52,15.2,59.36,95.52,291.46,218.88,636.02
4,META,"Meta Platforms, Inc.",1631209127936,13159356,0.08,-2.38,-1.56,-1.35,-0.76,-0.43,-12.59,-7.37,15.8,200.49,100.04,216.61
5,AVGO,Broadcom Inc.,1566753947648,39152159,0.25,-0.69,5.3,-0.55,-0.21,1.53,-6.5,33.32,99.71,451.17,596.63,1335.38
6,TSLA,"Tesla, Inc.",1488702275584,64054561,0.43,-2.17,1.1,-4.95,-4.88,-11.71,-8.53,25.41,62.65,114.38,30.84,652.37
7,PLTR,Palantir Technologies Inc.,375875764224,74980855,1.99,2.94,6.75,17.12,21.71,-5.27,-14.88,13.72,326.72,1842.65,543.31,
8,AMD,"Advanced Micro Devices, Inc.",313756286976,33913779,1.08,-3.52,0.78,-8.74,-6.56,-24.16,-23.92,51.4,22.77,108.1,60.6,268.78
9,BABA,Alibaba Group Holding Limited,312238800896,10867115,0.35,0.34,-3.54,-14.11,-17.6,-26.18,-25.13,13.7,50.3,34.05,-22.5,-30.95
10,SHOP,Shopify Inc.,169921888256,15748259,0.93,-3.41,6.84,8.22,17.66,-5.41,-24.72,22.22,65.48,187.1,-8.69,72.59
11,DE,Deere & Company,159301189632,1411807,0.09,-0.16,-4.76,-5.43,-1.39,12.9,25.18,13.89,46.99,65.86,83.3,406.09
12,HOOD,"Robinhood Markets, Inc.",69404770304,28734366,4.14,-4.31,1.34,-0.57,8.39,-27.44,-44.85,2.86,237.97,670.13,94.72,
13,COIN,"Coinbase Global, Inc. - 3",53176479744,11504888,2.16,-4.13,8.15,7.22,39.78,-11.62,-44.36,-22.31,17.23,221.0,-34.44,
14,RBLX,Roblox Corporation,45024096256,8138713,1.81,-3.86,-5.14,-6.67,0.6,-14.95,-50.25,-37.17,37.21,37.51,-24.35,
15,TER,"Teradyne, Inc.",42747600896,5896893,1.38,-10.65,-10.25,-20.35,-12.17,19.21,89.47,216.61,105.24,175.33,139.49,368.39
16,BIDU,"Baidu, Inc.",41501499392,2604750,0.63,0.95,0.29,-10.25,-13.97,-26.75,-3.02,38.41,36.81,-17.89,-32.98,24.67
17,XYZ,"Block, Inc.",40306421760,11023181,2.73,-1.56,5.45,27.71,35.12,1.97,-16.61,4.75,-3.37,-2.6,-73.79,-10.11
18,CRWV,"CoreWeave, Inc.",38369976320,25591588,6.67,-2.45,-1.07,-25.53,-23.73,-20.48,-44.93,-57.55,,,,
19,NTRA,"Natera, Inc.",28081213440,1226265,0.44,0.5,-4.3,-6.47,-4.67,-18.43,2.92,18.25,55.85,281.68,72.39,322.0
20,CRCL,"Circle Internet Group, Inc.",26122430464,16147263,6.18,-3.62,2.29,22.58,79.96,42.83,-28.26,-31.67,,,,
21,SOFI,"SoFi Technologies, Inc.",24102486016,76383794,31.69,-1.82,1.56,-2.02,-2.07,-27.56,-34.85,30.98,130.77,228.7,-8.16,
22,ILMN,"Illumina, Inc.",19054397440,1477749,0.78,-2.82,-3.81,2.26,8.9,-19.05,24.48,39.29,-7.27,-44.3,-68.69,-60.39
23,BWXT,"BWX Technologies, Inc.",17852823552,649889,0.36,-0.14,-5.15,-6.26,-0.85,-5.38,-3.82,38.74,101.1,222.07,253.36,287.97
24,KTOS,Kratos Defense & Security Solut,16247922688,5385585,3.31,1.71,-2.19,-1.39,-0.06,-23.58,-4.58,101.25,281.58,574.94,287.01,452.03
25,ROKU,"Roku, Inc.",14826811392,3992674,2.69,2.51,6.91,8.98,21.27,-6.21,4.44,24.73,29.85,56.94,-68.76,-14.45
26,TEM,"Tempus AI, Inc.",9342712832,3443495,3.69,-1.49,1.67,-2.7,2.91,-23.55,-41.43,-25.46,4.33,,,
27,BMNR,"BitMine Immersion Technologies,",8587803136,43368349,50.5,-7.22,-3.53,-12.19,-4.36,-34.67,-62.54,291.82,,,,
28,CRSP,CRISPR Therapeutics AG,5423170048,1167922,2.15,-1.45,-2.69,2.36,15.47,-7.09,-16.43,30.82,14.16,24.45,-40.87,-1.52
29,BLSH,Bullish,5267903488,922314,1.75,-0.17,5.56,6.29,10.25,-4.17,-35.52,,,,,
30,ACHR,Archer Aviation Inc.,4595523584,30776304,66.97,-3.1,-6.85,-11.83,-7.4,-30.52,-44.55,-36.9,105.25,143.58,-6.71,
31,TWST,Twist Bioscience Corporation,2877971200,842463,2.93,-3.53,0.62,-5.32,-1.51,3.96,37.61,38.38,-2.19,239.9,-60.02,23.14
32,BEAM,Beam Therapeutics Inc.,2703265024,1608266,5.95,4.0,-2.5,-10.37,-1.45,-22.53,-5.08,59.21,1.92,-10.76,-71.69,24.02
33,VCYT,"Veracyte, Inc.",2689667584,964112,3.58,-2.39,-3.51,-5.24,-3.7,-22.72,-7.84,26.49,-3.97,56.06,-27.05,31.76
34,TXG,"10x Genomics, Inc.",2658524416,1616250,6.08,-3.84,-8.0,5.85,18.85,-10.26,51.13,97.06,-11.37,-60.03,-87.31,-74.01
35,WGS,GeneDx Holdings Corp.,2580630784,1201838,4.66,7.45,14.47,11.67,-2.82,-13.52,-31.63,37.59,116.75,714.02,-64.82,
36,RXRX,"Recursion Pharmaceuticals, Inc.",1827580032,12183792,66.67,-2.26,-2.26,-8.22,-3.35,-30.24,-42.72,-28.51,-50.14,-47.97,-80.53,
37,NTLA,"Intellia Therapeutics, Inc.",1587714816,3322915,20.93,2.21,-1.21,0.15,15.66,-15.47,-47.5,40.29,-41.39,-62.63,-89.78,-14.67
38,PACB,Pacific Biosciences of Californ,416757664,8953016,214.83,-9.21,-9.21,-15.34,-25.0,-48.31,-31.68,6.15,-32.35,-87.41,-94.58,-60.68
39,CERS,Cerus Corporation,370728864,2347419,63.32,-5.39,-9.39,-20.25,-11.06,-26.34,26.14,47.33,5.46,-32.75,-69.07,-63.17
40,SLMT,Brera Holdings PLC,90390688,777559,86.02,-13.1,-0.45,-2.23,2.34,-30.91,-90.88,-82.14,-85.78,-97.08,,
