Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4376115281920,169842350,0.39,-1.33,-2.62,-5.15,-5.26,-3.32,-0.61,24.19,54.23,544.38,709.43,2213.55
2,GOOG,Alphabet Inc.,3672165318656,19747708,0.05,-0.91,-1.17,-3.6,-6.42,-8.11,20.86,71.8,91.89,191.52,112.65,340.57
2,AMZN,"Amazon.com, Inc.",2240699957248,42680032,0.19,0.16,0.39,-0.66,0.0,-12.71,-5.99,-2.11,12.89,103.82,21.21,75.43
3,TSM,Taiwan Semiconductor Manufactur,1831510474752,17099968,0.09,-4.33,-6.28,-4.7,-0.64,3.13,20.23,64.88,112.34,296.48,224.52,638.11
4,META,"Meta Platforms, Inc.",1657061244928,10683391,0.06,0.23,-0.29,-0.09,-3.27,5.62,-10.59,-5.31,23.33,209.6,94.02,210.65
5,AVGO,Broadcom Inc.,1488001302528,20412225,0.14,-1.56,-2.44,-5.65,-8.75,-10.77,-8.24,23.29,94.23,407.26,568.06,1204.23
6,TSLA,"Tesla, Inc.",1472566788096,62317429,0.42,-2.7,-3.95,-4.71,-5.96,-10.3,-11.34,22.98,73.04,101.48,36.22,618.37
7,PLTR,Palantir Technologies Inc.,352102481920,67059368,1.9,1.41,8.3,8.86,3.02,-13.89,-18.89,8.9,305.45,1656.8,496.27,
8,BABA,Alibaba Group Holding Limited,323697999872,18400684,0.57,-4.89,-8.42,-12.21,-16.82,-18.02,-18.65,16.27,64.93,45.11,-19.34,-29.04
9,AMD,"Advanced Micro Devices, Inc.",311326965760,36188109,1.16,-3.86,-6.25,-4.6,-11.6,-17.63,-19.78,61.14,25.56,97.75,64.15,259.0
10,DE,Deere & Company,167854718976,907325,0.05,-1.85,-0.04,-6.53,5.73,20.38,35.13,21.02,60.22,55.12,91.12,388.0
11,SHOP,Shopify Inc.,159050547200,11914670,0.75,2.09,-3.23,-3.43,2.93,-21.78,-25.07,11.59,65.63,155.6,-17.97,71.9
12,HOOD,"Robinhood Markets, Inc.",68486459392,26583940,3.88,-3.44,-4.25,-0.05,-12.12,-30.04,-42.3,3.02,242.5,679.41,82.42,
13,COIN,"Coinbase Global, Inc. - 3",49174761472,12434004,2.53,-1.55,0.72,6.43,9.03,-24.38,-46.15,-24.35,12.92,186.68,-40.33,
14,TER,"Teradyne, Inc.",47627452416,3546378,0.74,-6.63,-8.56,-6.35,-1.83,33.4,112.5,254.89,139.11,188.35,165.46,378.89
15,RBLX,Roblox Corporation,47462043648,6811168,1.44,-0.7,-6.2,8.02,-8.82,-23.27,-49.71,-29.59,44.83,44.27,-15.41,
16,BIDU,"Baidu, Inc.",41382969344,3431996,0.83,-3.93,-5.15,-12.62,-19.23,-20.61,-0.36,35.19,41.19,-20.43,-33.68,18.98
17,CRWV,"CoreWeave, Inc.",38458064896,23927865,6.22,-5.47,-24.43,-17.33,-23.77,-27.12,-41.0,-50.47,,,,
18,XYZ,"Block, Inc.",38342836224,9716775,2.53,-2.4,15.35,18.19,10.78,-4.62,-19.08,-1.49,-4.38,-7.27,-75.28,-17.29
19,NTRA,"Natera, Inc.",28871544832,1542914,0.53,3.43,-4.19,-2.39,-1.68,-10.47,10.79,25.98,59.67,281.5,82.14,375.19
20,CRCL,"Circle Internet Group, Inc.",25349619712,32910779,12.98,3.63,14.24,58.09,65.77,26.74,-23.27,-6.49,,,,
21,SOFI,"SoFi Technologies, Inc.",23732662272,71167197,29.99,1.2,-2.57,-2.16,-12.83,-28.78,-35.27,24.9,130.89,208.62,-7.96,
22,ILMN,"Illumina, Inc.",19809724416,1435882,0.72,-2.51,1.7,10.1,10.5,-8.54,30.92,47.01,0.03,-42.1,-67.84,-57.02
23,BWXT,"BWX Technologies, Inc.",18822141952,1092322,0.58,-4.92,-0.68,-0.3,1.39,-5.53,0.43,49.82,111.31,232.4,281.34,277.34
24,KTOS,Kratos Defense & Security Solut,15150777344,8261701,5.45,-1.95,-3.46,-7.42,-9.98,-31.95,-1.84,115.69,301.58,572.84,290.3,415.35
25,ROKU,"Roku, Inc.",13868530688,4838970,3.49,-4.1,0.64,5.63,6.27,-9.25,-3.51,22.57,26.49,43.16,-72.69,-25.73
26,TEM,"Tempus AI, Inc.",9188968448,6881306,7.49,-3.58,-7.24,-11.94,-10.01,-26.92,-42.31,-27.84,-5.98,,,
27,BMNR,"BitMine Immersion Technologies,",8901658624,34606949,38.88,-4.07,-4.26,-2.78,-8.76,-37.2,-62.25,248.94,,,,
28,CRSP,CRISPR Therapeutics AG,5572907520,1468322,2.63,-4.46,-5.96,8.6,16.82,8.5,-19.72,40.65,21.62,28.22,-42.09,7.84
29,BLSH,Bullish,4990645248,1012751,2.03,-2.04,1.19,4.25,3.34,-15.1,-42.17,,,,,
30,ACHR,Archer Aviation Inc.,4933213696,43174354,87.52,-10.64,-8.94,-3.03,-8.82,-24.15,-41.1,-42.71,116.08,143.48,0.45,
31,TXG,"10x Genomics, Inc.",2889756160,2404622,8.32,-2.25,2.21,19.81,22.01,10.23,73.6,113.8,5.11,-57.86,-85.93,-72.73
32,TWST,Twist Bioscience Corporation,2860190976,789070,2.76,1.66,-4.23,-3.99,-1.73,12.65,39.71,38.72,0.19,231.09,-61.08,19.22
33,VCYT,"Veracyte, Inc.",2773045248,983976,3.55,-2.58,-9.47,-1.54,-4.49,-15.61,-2.83,31.43,4.31,58.23,-25.09,24.8
34,BEAM,Beam Therapeutics Inc.,2762147840,2885443,10.45,-5.12,-5.88,-1.34,-0.22,-12.81,-8.93,56.08,6.25,-9.66,-71.15,61.16
35,WGS,GeneDx Holdings Corp.,2254354432,1036606,4.6,3.73,-5.42,-6.2,-15.64,-28.78,-36.79,15.97,104.06,570.24,-69.23,
36,RXRX,"Recursion Pharmaceuticals, Inc.",1845270144,12317707,66.75,-2.48,-6.1,3.51,-11.06,-24.2,-42.06,-31.53,-46.77,-48.62,-82.05,
37,NTLA,"Intellia Therapeutics, Inc.",1575866112,8289764,52.6,-11.88,-4.73,7.63,8.93,8.84,-49.56,62.93,-36.75,-63.32,-89.75,-0.26
38,PD,"PagerDuty, Inc.",689090880,3303627,47.94,3.36,4.38,12.48,-5.5,-34.14,-54.18,-50.7,-57.96,-78.24,-82.52,-69.92
39,PACB,Pacific Biosciences of Californ,458899264,9384955,204.51,-6.17,-14.61,-5.59,-17.39,-31.22,-20.0,28.81,-17.84,-86.94,-94.01,-55.16
40,CERS,Cerus Corporation,409146400,4817211,117.74,-15.81,-18.08,-11.62,-2.29,-18.08,29.88,55.47,3.4,-25.52,-66.77,-61.06
41,SLMT,Brera Holdings PLC,90803424,816585,89.93,-3.51,-0.9,1.85,-14.06,-44.16,-88.55,-84.29,-85.33,-97.07,,
