Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4384621854720,154378417,0.35,-0.84,0.08,-1.23,-7.75,0.04,-7.58,14.2,54.25,546.45,579.68,1977.46
2,GOOG,Alphabet Inc.,3705311068160,13753387,0.04,-1.01,1.61,0.09,-2.08,-10.03,7.71,73.06,82.91,194.05,110.38,335.87
2,AMZN,"Amazon.com, Inc.",2252937625600,37711795,0.17,-2.48,1.06,-1.7,-0.37,-12.05,-16.12,-4.34,13.36,101.22,24.04,73.31
3,TSM,Taiwan Semiconductor Manufactur,1761181433856,12511381,0.07,-1.85,0.66,-2.34,-12.17,1.42,16.28,51.23,101.2,306.92,221.04,641.03
4,META,"Meta Platforms, Inc.",1557396717568,11622275,0.07,-1.12,0.41,-4.82,-5.73,-10.91,-3.03,-16.39,7.32,187.67,87.12,167.23
5,AVGO,Broadcom Inc.,1497910476800,22910021,0.15,-1.67,-1.93,-8.62,-4.93,-1.37,-11.82,15.03,90.86,417.05,532.85,1180.37
6,TSLA,"Tesla, Inc.",1473880129536,49612648,0.34,-1.63,0.4,-1.48,-5.9,-6.92,-15.0,23.65,52.23,117.5,-2.93,619.49
7,PLTR,Palantir Technologies Inc.,365376307200,32322026,0.88,-1.49,1.21,-2.34,13.85,-3.24,-18.7,12.07,319.01,1699.41,484.88,
8,AMD,"Advanced Micro Devices, Inc.",325201756160,28258166,0.87,1.6,3.14,-1.59,-5.41,-17.62,-22.19,40.56,24.86,121.77,52.81,275.0
9,BABA,Alibaba Group Holding Limited,320939884544,16983703,0.53,-1.57,-0.58,1.35,-11.72,-17.86,-18.44,18.53,21.25,51.41,-14.85,-29.83
10,SHOP,Shopify Inc.,161504100352,5775641,0.36,-3.17,0.64,-7.3,2.86,3.74,-24.04,7.28,57.74,152.29,-17.24,61.16
11,DE,Deere & Company,154236665856,1203140,0.08,-0.56,-1.12,-4.75,-8.43,4.77,20.96,13.08,39.53,51.14,76.26,316.48
12,HOOD,"Robinhood Markets, Inc.",67433103360,21842423,3.24,-3.17,2.06,-5.61,-3.39,-13.98,-47.43,-20.0,235.42,662.73,102.21,
13,COIN,"Coinbase Global, Inc. - 3",54549032960,12536235,2.3,-3.78,3.46,1.25,9.98,12.6,-36.65,-42.28,22.59,213.92,-41.26,
14,TER,"Teradyne, Inc.",46977744896,2646168,0.56,0.22,4.77,1.22,-12.47,6.08,60.15,234.44,134.0,208.19,117.8,373.35
15,CRWV,"CoreWeave, Inc.",43537489920,17267587,3.97,0.85,2.11,11.3,-15.5,-8.04,-27.62,-49.21,,,,
16,BIDU,"Baidu, Inc.",42484563968,2597744,0.61,0.98,-1.77,-0.5,-8.13,-15.87,-1.18,42.11,10.51,-4.9,-26.3,12.47
17,RBLX,Roblox Corporation,41296302080,7881267,1.91,0.83,3.28,-6.99,-14.4,-10.9,-43.01,-44.61,33.86,41.81,-25.64,
18,CRCL,"Circle Internet Group, Inc.",35266441216,16761218,4.75,0.4,15.13,18.78,59.78,136.54,17.53,-26.73,,,,
